"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area isbifurcated","Number of voters assigned topolling station",Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",,CHAK NO 088/N.B,132080304,-,-,,0,265,265,,,
"",,CHAK NO 088/N.B,132080305,-,-,,0,185,185,,,
170 Total,,,,-,-,-,0,1518,1518,0,3,3
187,"Government Girls High School ChakNo.50 N.B. East (Male-I)  (P)",CHAK NO 050/N.B,132080401,-,-,,343,0,343,3,0,3
"",,CHAK NO 050/N.B,132080402,-,-,,345,0,345,,,
"",,CHAK NO 050/N.B,132080403,-,-,,591,0,591,,,
"",,CHAK NO 050/N.B,132080408,-,-,,269,0,269,,,
171 Total,,,,-,-,-,1548,0,1548,3,0,3
188,"Government Girls High School ChakNo.50 N.B. West (Male-II)  (P)",CHAK NO 050/N.B,132080404,-,-,,884,0,884,4,0,4
CHAK NO 050/N.B,132080405,-,-,,382,0,382,,,,,
CHAK NO 050/N.B,132080406,-,-,,393,0,393,,,,,
CHAK NO 050/N.B,132080407,-,-,,278,0,278,,,,,
189,"Govt. Boys Primary School Chak No.50N.B. Female  (P)",CHAK NO 050/N.B,132080401,-,-,,0,277,277,0,2,2
"",,CHAK NO 050/N.B,132080402,-,-,,0,300,300,,,
"",,CHAK NO 050/N.B,132080403,-,-,,0,486,486,,,
173 Total,,,,-,-,-,0,1063,1063,0,2,2
190,"(170) Govt. Girls Primary School ChakNo.50 N.B. Female  (P)",CHAK NO 050/N.B,132080404,-,-,,0,731,731,0,4,4
"",,CHAK NO 050/N.B,132080405,-,-,,0,291,291,,,
"",,CHAK NO 050/N.B,132080406,-,-,,0,263,263,,,
"",,CHAK NO 050/N.B,132080407,-,-,,0,196,196,,,
"",,CHAK NO 050/N.B,132080408,-,-,,0,206,206,,,
174 Total,,,,-,-,-,0,1687,1687,0,4,4
191,"Govt. Girls Middle School Chak No.51N.B.(Combined)  (P)",CHAK NO 051/N.B,132080409,-,-,,421,337,758,2,2,4
"",,CHAK NO 051/N.B,132080410,-,-,,371,363,734,,,
175 Total,,,,-,-,-,792,700,1492,2,2,4
192,"Govt. Boys Primary School Chak No.99S.B.(Combined) (T)",CHAK NO 099/S.B,132080411,-,-,,31,28,59,2,2,4
"",,CHAK NO 099/S.B,132080412,-,-,,269,215,484,,,
"",,CHAK NO 099/S.B,132080418,-,-,,545,440,985,,,
176 Total,,,,-,-,-,845,683,1528,2,2,4
193,"Govt. Girls High School Chak No103S.B.(Combined)  (T)",CHAK NO 103/S.B,132080413,-,-,,413,268,681,2,2,4
"",,CHAK NO 103/S.B,132080415,-,-,,515,489,1004,,,
177 Total,,,,-,-,-,928,757,1685,2,2,4
194,"Govt.Boys Elementary School ChakNo.103 S.B.(Combined)  (T)",CHAK NO 103/S.B,132080414,-,-,,503,389,892,1,1,2
178 Total,,,,-,-,-,503,389,892,1,1,2
195,"Govt. Boys Primary School Asianwala(Combined) (T)",ASIAN WALI,132080416,-,-,,512,0,512,2,0,2
"",,ASIAN WALI,132080417,-,-,,582,0,582,,,
179 Total,,,,-,-,-,1094,0,1094,2,0,2
196,"(175) Govt. Girls Primary SchoolAsianwala (Combined) (T)",ASIAN WALI,132080416,-,-,,0,532,532,0,2,2
ASIAN WALI,132080417,-,-,,0,408,408,,,,,
180 Total,,,,-,-,-,0,940,940,0,2,2
"",Sr. No.,No. and Name of Polling Station,In Case of Rural Areas,In Case of Urban Areas,"S. No. of voterson the electoralroll in caseelectoral area is",,Number of polling  booths,,,,,,
"",,,Name of Electoral Areas,"Census BlockCode",Name of Electoral Areas,"Census BlockCode",Male,Female,Total,Male,Female,Total,
"",1,2,3,4,5,6,7,8,9,10,11,12,13
"",1,"Governemnt Model Primary SchoolIstaqalabad   (Male)  (T)",SARGODHA M.CORP.,132100101,-,-,,911,0,911,3,0,3
"",,,SARGODHA M.CORP.,132100102,-,-,,512,0,512,,,
"",,,SARGODHA M.CORP.,132100804,-,-,,90,0,90,,,
"",1 Total,,,,-,-,-,1513,0,1513,3,0,3
"",2,"(1) Governemnt Model Primary SchoolIstaqalabad   (Male)  (T)",SARGODHA M.CORP.,132100103,-,-,,496,0,496,3,0,3
"",,,SARGODHA M.CORP.,132100104,-,-,,625,0,625,,,
"",,,SARGODHA M.CORP.,132100805,-,-,,106,0,106,,,
"",2 Total,,,,-,-,-,1227,0,1227,3,0,3
"",3,"(2) Government model Primary SchoolIstaqalalbad (Female) (T)",SARGODHA M.CORP.,132100103,-,-,,0,419,419,0,2,2
"",,,SARGODHA M.CORP.,132100104,-,-,,0,558,558,,,
"",,,SARGODHA M.CORP.,132100805,-,-,,0,81,81,,,
"",3 Total,,,,-,-,-,0,1058,1058,0,2,2
"",4,"Government model Primary SchoolIstaqalalbad (Female) (T)",SARGODHA M.CORP.,132100101,-,-,,0,752,752,0,3,3
"",,,SARGODHA M.CORP.,132100102,-,-,,0,413,413,,,
"",,,SARGODHA M.CORP.,132100804,-,-,,0,94,94,,,
"",4 Total,,,,-,-,-,0,1259,1259,0,3,3
"",5,"Government Girls High SchoolIstaqalabad (East)  (Male)  (P)",SARGODHA M.CORP.,132100201,-,-,,342,0,342,3,0,3
"",,,SARGODHA M.CORP.,132100202,-,-,,527,0,527,,,
"",,,SARGODHA M.CORP.,132100209,-,-,,534,0,534,,,
"",,,SARGODHA M.CORP.,132100210,-,-,,226,0,226,,,
"",5 Total,,,,-,-,-,1629,0,1629,3,0,3
"",6,"Government Girls High SchoolIstaqalabad (West ) (Female) ( P )",SARGODHA M.CORP.,132100201,-,-,,0,255,255,0,3,3
"",,,SARGODHA M.CORP.,132100202,-,-,,0,394,394,,,
"",,,SARGODHA M.CORP.,132100209,-,-,,0,444,444,,,
"",,,SARGODHA M.CORP.,132100210,-,-,,0,181,181,,,
"",6 Total,,,,-,-,-,0,1274,1274,0,3,3
SARGODHA M.CORP.,132100203,-,-,,584,0,584,,,,,,
"",,SARGODHA M.CORP.,132100211,-,-,,250,0,250,,,
7 Total,,,,-,-,-,1273,0,1273,3,0,3
8,"Government Girls High  SchoolIstaqlabad (South) (Female) P",SARGODHA M.CORP.,132100203,-,-,,0,483,483,0,2,2
"",,SARGODHA M.CORP.,132100204,-,-,,0,398,398,,,
"",,SARGODHA M.CORP.,132100211,-,-,,0,198,198,,,
8 Total,,,,-,-,-,0,1079,1079,0,2,2
9,"Government Girls Primary School EssaNagar, Istaqalabad (East ) (Male)  (P)",SARGODHA M.CORP.,132100205,-,-,,737,0,737,2,0,2
"",,SARGODHA M.CORP.,132100206,-,-,,414,0,414,,,
9 Total,,,,-,-,-,1151,0,1151,2,0,2
10,"(7) Government Girls Primary SchoolEssa Nagar, Istaqalabad (East ) (Male)(P)",SARGODHA M.CORP.,132100207,-,-,,379,0,379,2,0,2
"",,SARGODHA M.CORP.,132100208,-,-,,379,0,379,,,
"",,SARGODHA M.CORP.,132100212,-,-,,412,0,412,,,
10 Total,,,,-,-,-,1170,0,1170,2,0,2
11,"Government Girls  Primary School EssaNagar, Istaqalabad (West ) Female (P)",SARGODHA M.CORP.,132100205,-,-,,0,587,587,0,4,4
"",,SARGODHA M.CORP.,132100206,-,-,,0,345,345,,,
"",,SARGODHA M.CORP.,132100207,-,-,,0,408,408,,,
"",,SARGODHA M.CORP.,132100208,-,-,,0,320,320,,,
"",,SARGODHA M.CORP.,132100212,-,-,,0,321,321,,,
11 Total,,,,-,-,-,0,1981,1981,0,4,4
12,"MC Boys Primary School No.11Factory Area (East)  (Male)  (T)",SARGODHA M.CORP.,132100301,-,-,,374,0,374,3,0,3
"",,SARGODHA M.CORP.,132100302,-,-,,661,0,661,,,
"",,SARGODHA M.CORP.,132100305,-,-,,313,0,313,,,
12 Total,,,,-,-,-,1348,0,1348,3,0,3
13,"MC Boys Primary School No.11Factory Area West (Female) (T)",SARGODHA M.CORP.,132100301,-,-,,0,322,322,0,2,2
"",,SARGODHA M.CORP.,132100302,-,-,,0,500,500,,,
"",,SARGODHA M.CORP.,132100305,-,-,,0,254,254,,,
13 Total,,,,-,-,-,0,1076,1076,0,2,2
14,"Municipal Corporation GirlsElementary School Factory Area",SARGODHA M.CORP.,132100303,-,-,,919,0,919,3,0,3
"",,SARGODHA M.CORP.,132100304,-,-,,471,0,471,,,
14 Total,,,,-,-,-,1390,0,1390,3,0,3
15,"Municipal Corporation GirlsElementary School Factory Area",SARGODHA M.CORP.,132100303,-,-,,0,715,715,0,2,2
"",,SARGODHA M.CORP.,132100304,-,-,,0,390,390,,,
15 Total,,,,-,-,-,0,1105,1105,0,2,2
16,"Government Technical TrainingCollege Sillanwali Road Sargodha(East) Male (P)",SARGODHA M.CORP.,132100401,-,-,,642,0,642,3,0,3
"",,SARGODHA M.CORP.,132100402,-,-,,352,0,352,,,
"",,SARGODHA M.CORP.,132100503,-,-,,324,0,324,,,
16 Total,,,,-,-,-,1318,0,1318,3,0,3
17,"Government Technical TrainingCollege Sillanwali Road Sargodha(Female) West (P)",SARGODHA M.CORP.,132100401,-,-,,0,601,601,0,2,2
"",,SARGODHA M.CORP.,132100402,-,-,,0,294,294,,,
"",,SARGODHA M.CORP.,132100503,-,-,,0,239,239,,,
17 Total,,,,-,-,-,0,1134,1134,0,2,2
18,"Government Para Medical SchoolSargodha  (Male)  (T)",SARGODHA M.CORP.,132100404,-,-,,524,0,524,2,0,2
SARGODHA M.CORP.,132100406,-,-,,531,0,531,,,,,
19,"Government Para Medical SchoolSargodha (Female)  (T)",SARGODHA M.CORP.,132100404,-,-,,0,413,413,0,2,2
"",SARGODHA M.CORP.,132100406,-,-,,0,471,471,,,,
19 Total,,,,-,-,-,0,884,884,0,2,2
20,"Wapda House City Sargodha  (Male)(T)",SARGODHA M.CORP.,132100403,-,-,,471,0,471,4,0,4
"",SARGODHA M.CORP.,132100405,-,-,,844,0,844,,,,
"",SARGODHA M.CORP.,132100407,-,-,,539,0,539,,,,
20 Total,,,,-,-,-,1854,0,1854,4,0,4
21,"Wapda House City Sargodha (Female)(T)",SARGODHA M.CORP.,132100403,-,-,,0,374,374,0,3,3
"",SARGODHA M.CORP.,132100405,-,-,,0,668,668,,,,
"",SARGODHA M.CORP.,132100407,-,-,,0,475,475,,,,
21 Total,,,,-,-,-,0,1517,1517,0,3,3
22,"Municipal Corporation  Boys PrimaryShool City Ground, Sargodha  (Male)EAST  (T)",SARGODHA M.CORP.,132100501,-,-,,608,0,608,4,0,4
"",SARGODHA M.CORP.,132100502,-,-,,526,0,526,,,,
"",SARGODHA M.CORP.,132100508,-,-,,520,0,520,,,,
22 Total,,,,-,-,-,1654,0,1654,4,0,4
23,"Municipal Corporation Boys PrimaryShool City Ground, Sargodha (Female)West (T)",SARGODHA M.CORP.,132100501,-,-,,0,515,515,0,3,3
"",SARGODHA M.CORP.,132100502,-,-,,0,457,457,,,,
"",SARGODHA M.CORP.,132100508,-,-,,0,430,430,,,,
23 Total,,,,-,-,-,0,1402,1402,0,3,3
24,"Government APWA Model Girls HighSchool , Sargodha  (Male)  (P)",SARGODHA M.CORP.,132100504,-,-,,249,0,249,4,0,4
"",SARGODHA M.CORP.,132100505,-,-,,544,0,544,,,,
"",SARGODHA M.CORP.,132100506,-,-,,620,0,620,,,,
"",SARGODHA M.CORP.,132100507,-,-,,448,0,448,,,,
24 Total,,,,-,-,-,1861,0,1861,4,0,4
25,"Municipal Corporation Girls PrimarySchool City Ground (Female) (T)",SARGODHA M.CORP.,132100504,-,-,,0,183,183,0,3,3
"",SARGODHA M.CORP.,132100505,-,-,,0,432,432,,,,
"",SARGODHA M.CORP.,132100506,-,-,,0,521,521,,,,
"",SARGODHA M.CORP.,132100507,-,-,,0,383,383,,,,
25 Total,,,,-,-,-,0,1519,1519,0,3,3
26,"Municipal CorporationBoys PrimarySchool No.3               Block No.5 (Male )",SARGODHA M.CORP.,132100601,-,-,,418,0,418,2,0,2
"",SARGODHA M.CORP.,132100602,-,-,,236,0,236,,,,
26 Total,,,,-,-,-,654,0,654,2,0,2
27,"Municipal Corporation Boys  PrimarySchool No.3 Block No.5 (Female ) (T)",SARGODHA M.CORP.,132100601,-,-,,0,380,380,0,1,1
"",SARGODHA M.CORP.,132100602,-,-,,0,224,224,,,,
27 Total,,,,-,-,-,0,604,604,0,1,1
28,"Government APWA Dastaqari School(Women) Block No.10  (Male)  (East)(T)",SARGODHA M.CORP.,132100603,-,-,,412,0,412,3,0,3
"",SARGODHA M.CORP.,132100604,-,-,,554,0,554,,,,
"",SARGODHA M.CORP.,132100605,-,-,,473,0,473,,,,
28 Total,,,,-,-,-,1439,0,1439,3,0,3
29,"Government APWA Dastaqari School(Women ) Block No.10 (Female)(West) (T)",SARGODHA M.CORP.,132100603,-,-,,0,342,342,0,3,3
"",SARGODHA M.CORP.,132100604,-,-,,0,483,483,,,,
"",SARGODHA M.CORP.,132100605,-,-,,0,418,418,,,,
29 Total,,,,-,-,-,0,1243,1243,0,3,3
30,"Municipal Corporation  Boys PrimarySchool Gujar Mohallah  (Male)  (T)",SARGODHA M.CORP.,132100702,-,-,,540,0,540,4,0,4
"",,SARGODHA M.CORP.,132100703,-,-,,381,0,381,,,
"",,SARGODHA M.CORP.,132100704,-,-,,446,0,446,,,
30 Total,,,,-,-,-,1783,0,1783,4,0,4
31,"Municipal Corporation GirlsElementary School Block No.16(Female) (P)",SARGODHA M.CORP.,132100701,-,-,,0,402,402,0,4,4
"",,SARGODHA M.CORP.,132100702,-,-,,0,521,521,,,
"",,SARGODHA M.CORP.,132100703,-,-,,0,325,325,,,
"",,SARGODHA M.CORP.,132100704,-,-,,0,410,410,,,
31 Total,,,,-,-,-,0,1658,1658,0,4,4
32,"Municipal Corporation Boys HighSchool Istaqalabad (East)  (Male)  (P)",CHAK NO 079/N.B,132010164,-,-,,377,0,377,4,0,4
"",,"SARGODHACANTONMENT",133020203,-,-,,1001,0,1001,,,
"",,"SARGODHACANTONMENT",133020210,-,-,,1656,0,1656,,,
32 Total,,,,-,-,-,3034,0,3034,4,0,4
33,"Municipal Corporation Boys HighSchool Istaqalabad (West) (Female) (P)",CHAK NO 079/N.B,132010164,-,-,,0,259,259,0,4,4
"",,"SARGODHACANTONMENT",133020203,-,-,,0,880,880,,,
"",,"SARGODHACANTONMENT",133020210,-,-,,0,1346,1346,,,
33 Total,,,,-,-,-,0,2485,2485,0,4,4
34,"Government Boys Primary SchoolDera Sanjhan Singh near Pacca Dera (Male) (T)",SARGODHA M.CORP.,132100806,-,-,,261,0,261,3,0,3
"",,SARGODHA M.CORP.,132100901,-,-,,80,0,80,,,
"",,SARGODHA M.CORP.,132100902,-,-,,326,0,326,,,
"",,SARGODHA M.CORP.,132100903,-,-,,219,0,219,,,
"",,SARGODHA M.CORP.,132100904,-,-,,271,0,271,,,
"",,SARGODHA M.CORP.,132100905,-,-,,325,0,325,,,
34 Total,,,,-,-,-,1482,0,1482,3,0,3
35,"Government Girls Primary SchoolPacca Dera (Female) (T)",SARGODHA M.CORP.,132100806,-,-,,0,203,203,0,2,2
"",,SARGODHA M.CORP.,132100901,-,-,,0,69,69,,,
"",,SARGODHA M.CORP.,132100902,-,-,,0,275,275,,,
"",,SARGODHA M.CORP.,132100903,-,-,,0,178,178,,,
"",,SARGODHA M.CORP.,132100904,-,-,,0,204,204,,,
"",,SARGODHA M.CORP.,132100905,-,-,,0,269,269,,,
35 Total,,,,-,-,-,0,1198,1198,0,2,2
174,"Federal Government  Public SchoolMaila Mandi Road  (Male)  (P)",SARGODHA M.CORP.,132150101,-,-,,600,0,600,4,0,4
"",,SARGODHA M.CORP.,132150103,-,-,,710,0,710,,,
"",,SARGODHA M.CORP.,132150108,-,-,,555,0,555,,,
36 Total,,,,-,-,-,1865,0,1865,4,0,4
175,"Federal Government  Public SchoolMaila Mandi Road( Female) (P)",SARGODHA M.CORP.,132150101,-,-,,0,423,423,0,3,3
"",,SARGODHA M.CORP.,132150103,-,-,,0,611,611,,,
"",,SARGODHA M.CORP.,132150108,-,-,,0,551,551,,,
37 Total,,,,-,-,-,0,1585,1585,0,3,3
"",Maila Mandi Road( Male) (P),SARGODHA M.CORP.,132150105,-,-,,961,0,961,,,
38 Total,,,,-,-,-,1386,0,1386,3,0,3
177,"Municipal Corporation  Primary SchoolNO.13 Old Civil Line (Female) (T)",SARGODHA M.CORP.,132150102,-,-,,0,352,352,0,2,2
"",,SARGODHA M.CORP.,132150105,-,-,,0,836,836,,,
39 Total,,,,-,-,-,0,1188,1188,0,2,2
178,"Deputy Registrar Cooprative Socity,Sargodha",SARGODHA M.CORP.,132150104,-,-,,630,0,630,1,0,1
40 Total,,,,-,-,-,630,0,630,1,0,1
179,"Office of Excise & Taxation Sargodha(Female) (T)",SARGODHA M.CORP.,132150104,-,-,,0,610,610,0,1,1
41 Total,,,,-,-,-,0,610,610,0,1,1
180,Office of High Way  (Male)  (T),SARGODHA M.CORP.,132150106,-,-,,118,0,118,3,0,3
"",,SARGODHA M.CORP.,132150107,-,-,,243,0,243,,,
"",,SARGODHA M.CORP.,132150109,-,-,,333,0,333,,,
"",,SARGODHA M.CORP.,132150204,-,-,,288,0,288,,,
"",,SARGODHA M.CORP.,132150206,-,-,,515,0,515,,,
42 Total,,,,-,-,-,1497,0,1497,3,0,3
181,"Municipal Corporation  Girls PrimarySchool Canal Colony (Female) (T)",SARGODHA M.CORP.,132150106,-,-,,0,99,99,0,3,3
"",,SARGODHA M.CORP.,132150107,-,-,,0,213,213,,,
"",,SARGODHA M.CORP.,132150109,-,-,,0,329,329,,,
"",,SARGODHA M.CORP.,132150204,-,-,,0,218,218,,,
"",,SARGODHA M.CORP.,132150206,-,-,,0,473,473,,,
43 Total,,,,-,-,-,0,1332,1332,0,3,3
182,Railway Rest House  (Male)  (T),SARGODHA M.CORP.,132150201,-,-,,321,0,321,2,0,2
"",,SARGODHA M.CORP.,132150202,-,-,,428,0,428,,,
44 Total,,,,-,-,-,749,0,749,2,0,2
183,Railway Hospital (Female) (T),SARGODHA M.CORP.,132150201,-,-,,0,267,267,0,2,2
"",,SARGODHA M.CORP.,132150202,-,-,,0,411,411,,,
45 Total,,,,-,-,-,0,678,678,0,2,2
184,"Office of Naib Zila Nazim Zila Council(Male)  (T)",SARGODHA M.CORP.,132150203,-,-,,391,0,391,2,0,2
"",,SARGODHA M.CORP.,132150205,-,-,,377,0,377,,,
46 Total,,,,-,-,-,768,0,768,2,0,2
185,"Office of Civil DefenceBuilding  (Female) (T))",S   A  RGODHA M.CORP.,132150203,-,-,,0,356,356,0,2,2
"",,SARGODHA M.CORP.,132150205,-,-,,0,321,321,,,
47 Total,,,,-,-,-,0,677,677,0,2,2
186,"Government Girls Middle SchoolRailway Colony (East)  (Male)  (P)",SARGODHA M.CORP.,132150301,-,-,,365,0,365,3,0,3
SARGODHA M.CORP.,132150303,-,-,,253,0,253,,,,,
SARGODHA M.CORP.,132150304,-,-,,209,0,209,,,,,
SARGODHA M.CORP.,132150306,-,-,,89,0,89,,,,,
SARGODHA M.CORP.,132150307,-,-,,349,0,349,,,,,
SARGODHA M.CORP.,132150308,-,-,,104,0,104,,,,,
187,"Government Girls Middle SchoolRailway Colony   ( West)(Female) (P)",SARGODHA M.CORP.,132150301,-,-,,0,508,508,0,3,3
"",,SARGODHA M.CORP.,132150303,-,-,,0,231,231,,,
"",,SARGODHA M.CORP.,132150304,-,-,,0,57,57,,,
"",,SARGODHA M.CORP.,132150306,-,-,,0,60,60,,,
"",,SARGODHA M.CORP.,132150307,-,-,,0,329,329,,,
"",,SARGODHA M.CORP.,132150308,-,-,,0,61,61,,,
49 Total,,,,-,-,-,0,1246,1246,0,3,3
188,"Tantage at Millatabad near RailwayLine  (Male)  (T)",SARGODHA M.CORP.,132150302,-,-,,1033,0,1033,4,0,4
"",,SARGODHA M.CORP.,132150305,-,-,,742,0,742,,,
50 Total,,,,-,-,-,1775,0,1775,4,0,4
189,"Govt. MC Girls Primary School No. 5Milatabad, Sargodha. (Female) (T)",SARGODHA M.CORP.,132150302,-,-,,0,882,882,0,3,3
"",,SARGODHA M.CORP.,132150305,-,-,,0,699,699,,,
51 Total,,,,-,-,-,0,1581,1581,0,3,3
190,"Government Comp High School,Sargodha   (Male)  (P)",SARGODHA M.CORP.,132150401,-,-,,348,0,348,2,0,2
"",,SARGODHA M.CORP.,132150402,-,-,,473,0,473,,,
52 Total,,,,-,-,-,821,0,821,2,0,2
191,"Municipal Corporation  Boys HighSchool Block A S/Town (West )",SARGODHA M.CORP.,132150401,-,-,,0,336,336,0,2,2
"",,SARGODHA M.CORP.,132150402,-,-,,0,422,422,,,
53 Total,,,,-,-,-,0,758,758,0,2,2
192,"Government Girls  High  choolShamsher Town (East)  (Male)   (P)",SARGODHA M.CORP.,132150403,-,-,,537,0,537,2,0,2
"",,SARGODHA M.CORP.,132150404,-,-,,661,0,661,,,
54 Total,,,,-,-,-,1198,0,1198,2,0,2
193,"Government Girls High  SchoolShamsher Town (West) Female (P)",SARGODHA M.CORP.,132150403,-,-,,0,578,578,0,3,3
"",,SARGODHA M.CORP.,132150404,-,-,,0,657,657,,,
55 Total,,,,-,-,-,0,1235,1235,0,3,3
194,"Government Deaf & Dumb SchoolFazal Town  (Male)   (T)",SARGODHA M.CORP.,132150501,-,-,,593,0,593,3,0,3
"",,SARGODHA M.CORP.,132150502,-,-,,356,0,356,,,
"",,SARGODHA M.CORP.,132150504,-,-,,495,0,495,,,
56 Total,,,,-,-,-,1444,0,1444,3,0,3
195,"Government Girls Primary SchoolFazal Town (Female) (T)",SARGODHA M.CORP.,132150501,-,-,,0,503,503,0,3,3
"",,SARGODHA M.CORP.,132150502,-,-,,0,335,335,,,
"",,SARGODHA M.CORP.,132150504,-,-,,0,433,433,,,
57 Total,,,,-,-,-,0,1271,1271,0,3,3
196,Tantage at Canal Park  (Male)  (T),SARGODHA M.CORP.,132150503,-,-,,459,423,882,2,2,4
"",,SARGODHA M.CORP.,132150505,-,-,,260,272,532,,,
58 Total,,,,-,-,-,719,695,1414,2,2,4
198,"Government Jamia Qasim-ul-AloomHigh School  (Male)  (East) (P)",SARGODHA M.CORP.,132150601,-,-,,935,0,935,4,0,4
"",,SARGODHA M.CORP.,132150602,-,-,,819,0,819,,,
59 Total,,,,-,-,-,1754,0,1754,4,0,4
199,"Government Jamia Qasim-ul-AloomHigh School  (Male)  (West) (P)",SARGODHA M.CORP.,132150603,-,-,,623,0,623,2,0,2
SARGODHA M.CORP.,132150607,-,-,,415,0,415,,,,,
200,"(183) Government Jamia Qasim-ul-Aloom High School  (Male)  (West) (P)",SARGODHA M.CORP.,132150604,-,-,,958,0,958,2,0,2
61 Total,,,,-,-,-,958,0,958,2,0,2
201,"Government Jamia Qasim-ul-aloomHigh School  South Canal Side ( Male)",SARGODHA M.CORP.,132150605,-,-,,861,0,861,2,0,2
"",,SARGODHA M.CORP.,132150606,-,-,,302,0,302,,,
62 Total,,,,-,-,-,1163,0,1163,2,0,2
202,"Government Girls Elementary SchoolJinnah Colony (Female)  (T)",SARGODHA M.CORP.,132150601,-,-,,0,738,738,0,3,3
"",,SARGODHA M.CORP.,132150602,-,-,,0,698,698,,,
63 Total,,,,-,-,-,0,1436,1436,0,3,3
203,"(185) Government Girls ElementarySchool Jinnah Colony (Female)  (T)",SARGODHA M.CORP.,132150603,-,-,,0,454,454,0,2,2
"",,SARGODHA M.CORP.,132150607,-,-,,0,447,447,,,
64 Total,,,,-,-,-,0,901,901,0,2,2
204,"Muncipal Corporation Girls PrimarySchool Jinnah Colony (Female) (T)",SARGODHA M.CORP.,132150604,-,-,,0,747,747,0,4,4
"",,SARGODHA M.CORP.,132150605,-,-,,0,701,701,,,
"",,SARGODHA M.CORP.,132150606,-,-,,0,244,244,,,
65 Total,,,,-,-,-,0,1692,1692,0,4,4
230,"Government Girls Comp High SchoolSargodha  (Male)   (P)","SARGODHACANTONMENT",133010101,-,-,,384,0,384,2,0,2
"",,"SARGODHACANTONMENT",133010102,-,-,,453,0,453,,,
"",,"SARGODHACANTONMENT",133010109,-,-,,201,0,201,,,
66 Total,,,,-,-,-,1038,0,1038,2,0,2
231,"Government Girls Comp High SchoolSargodha (Female)  (P)","SARGODHACANTONMENT",133010101,-,-,,0,369,369,0,2,2
"",,"SARGODHACANTONMENT",133010102,-,-,,0,423,423,,,
"",,"SARGODHACANTONMENT",133010109,-,-,,0,209,209,,,
67 Total,,,,-,-,-,0,1001,1001,0,2,2
232,"Government Girls Degree CollegeFarooq Colony (East )  (Male)  (P)",SARGODHA M.CORP.,132150405,-,-,,129,0,129,2,0,2
"",,"SARGODHACANTONMENT",133010103,-,-,,146,0,146,,,
"",,"SARGODHACANTONMENT",133010104,-,-,,277,0,277,,,
"",,"SARGODHACANTONMENT",133010110,-,-,,143,0,143,,,
"",,"SARGODHACANTONMENT",133010111,-,-,,466,0,466,,,
68 Total,,,,-,-,-,1161,0,1161,2,0,2
SARGODHA M.CORP.,132150405,-,-,,0,119,119,,,,,
233,"Government Girls Degree CollegeFarooq Colony ( (West ) (Female) (P)","SARGODHACANTONMENT",133010104,-,-,,0,313,313,0,2,2
"",,"SARGODHACANTONMENT",133010110,-,-,,0,132,132,,,
"",,"SARGODHACANTONMENT",133010111,-,-,,0,455,455,,,
69 Total,,,,-,-,-,0,1128,1128,0,2,2
234,"Office of District Education Officer(Elementary)  (Male)   (P)","SARGODHACANTONMENT",133010105,-,-,,274,0,274,2,0,2
"",,"SARGODHACANTONMENT",133010112,-,-,,428,0,428,,,
70 Total,,,,-,-,-,702,0,702,2,0,2
235,"Office of District Education Officer (SE)(Female)  (P)","SARGODHACANTONMENT",133010105,-,-,,0,308,308,0,2,2
"",,"SARGODHACANTONMENT",133010112,-,-,,0,423,423,,,
71 Total,,,,-,-,-,0,731,731,0,2,2
236,"Pasco Godown Building NearMuradabad Colony  (Male)   (T)","SARGODHACANTONMENT",133010106,-,-,,585,0,585,4,0,4
"",,"SARGODHACANTONMENT",133010107,-,-,,353,0,353,,,
"",,"SARGODHACANTONMENT",133010108,-,-,,396,0,396,,,
"",,"SARGODHACANTONMENT",133010113,-,-,,530,0,530,,,
72 Total,,,,-,-,-,1864,0,1864,4,0,4
237,"Pasco Godown Building NearMuradabad Colony (Female )  (T)","SARGODHACANTONMENT",133010106,-,-,,0,596,596,0,4,4
"",,"SARGODHACANTONMENT",133010107,-,-,,0,330,330,,,
"",,"SARGODHACANTONMENT",133010108,-,-,,0,391,391,,,
"",,"SARGODHACANTONMENT",133010113,-,-,,0,510,510,,,
73 Total,,,,-,-,-,0,1827,1827,0,4,4
238,"University of Sargodha  (East)  (Male)(P)","SARGODHACANTONMENT",133010201,-,-,,503,0,503,2,0,2
"",,"SARGODHACANTONMENT",133010202,-,-,,448,0,448,,,
74 Total,,,,-,-,-,951,0,951,2,0,2
"SARGODHACANTONMENT",133010201,-,-,,0,483,483,,,,,
75 Total,,,,-,-,-,0,943,943,0,2,2
240,"Government Saint Pal M/S Sargodha(Male)   (T)","SARGODHACANTONMENT",133010203,-,-,,382,0,382,3,0,3
"",,"SARGODHACANTONMENT",133010204,-,-,,333,0,333,,,
"",,"SARGODHACANTONMENT",133010207,-,-,,384,0,384,,,
"",,"SARGODHACANTONMENT",133010208,-,-,,494,0,494,,,
76 Total,,,,-,-,-,1593,0,1593,3,0,3
241,"Government Saint Pal M/S Sargodha(Female)  (T)","SARGODHACANTONMENT",133010203,-,-,,0,348,348,0,3,3
"",,"SARGODHACANTONMENT",133010204,-,-,,0,279,279,,,
"",,"SARGODHACANTONMENT",133010207,-,-,,0,386,386,,,
"",,"SARGODHACANTONMENT",133010208,-,-,,0,481,481,,,
