"",S. No.,Polling Station Name,In case of Rural Areas,In case of Rural Areas,"Sr. No. of Voterson the ElectoralRoll in caseelectoral Roll isburificated","Number of voters assigned topolling station",Number of Polling Booths,,,,,,
"",,,"Name of ElectoralArea","Census BlockCode","Name of ElectoralArea","Census BlockCode","MaleVoters","FemaleVoters","TotalVoters","MaleBooths","FemaleBooths","TotalBooths",
118,"Govt. Pry School Hari Chand(P)(Male)","Malik Wahin(Basti Harichand)",207040802,,,,295,0,295,2,0,2
"",,"Malik Wahin(Basti Harichand)",207040803,,,704,0,704,,,,
"",,"MalikWahin(Bago walibhani, adaharichand)",207040801,,,486,0,486,,,,
"",,,,,,1485,0,1485,,,,
119,"Govt. Pry School Fiaz majhar(Baghchi wala)(P)",Malik Wahin,207040804,,,,349,239,588,1,1,2
"",,,,,,349,239,588,,,,
120,Govt. Middle School Dhallu (Male),Dhallo,207040402,,,,533,0,533,2,0,2
Dhallo,207040403,,,206,0,206,,,,,,
Dhallo,207040404,,,386,0,386,,,,,,
"",,,,1125,0,1125,,,,,,
Dhallo,207040402,,,0,316,316,,,,,,
Dhallo,207040403,,,0,145,145,,,,,,
Dhallo,207040404,,,0,267,267,,,,,,
122,"Girls Community Model SchoolDhallo (P)",Dhallo,207040405,,,,571,0,571,2,0,2
"",,Dhallo,207040406,,,474,0,474,,,,
"",,Dhallo,207040407,,,445,0,445,,,,
"",,Dhallo,207040408,,,160,0,160,,,,
"",,,,,,1650,0,1650,,,,
123,"Girls Community Model SchoolDhallo (P)",Dhallo,207040405,,,,0,427,427,0,2,2
Dhallo,207040406,,,0,392,392,,,,,,
Dhallo,207040407,,,0,119,119,,,,,,
Dhallo,207040408,,,0,253,253,,,,,,
"",,,,0,1191,1191,,,,,,
Chuhaan,207040401,,,162,0,162,,,,,,
Burana Khas,2  0  7  0  4  1  4  0  1,,,732,0,732,,,,,,
Burana Khas,2  0  7  0  4  1  4  0  2,,,426,0,426,,,,,,
125,Govt Elementary School Burana  (P),Chuhaan,207040401,,,,0,148,148,0,2,2
"",,Burana Khas,2  0  7  0  4  1  4  0  1,,,0,499,499,,,,
"",,Burana Khas,2  0  7  0  4  1  4  0  2,,,0,292,292,,,,
"",,,,,,0,939,939,,,,
126,Govt. Pry. School Pir Shah (Male),Pir Shah,2  0  7  0  4  1  4  0  3,,,,378,0,378,2,0,2
Pir Shah,2  0  7  0  4  1  4  0  4,,,584,0,584,,,,,,
Chak Pir Shah,207041405,,,117,0,117,,,,,,
Memoor Vaseer,207041406,,,108,0,108,,,,,,
Chak Vaseer,207041407,,,50,0,50,,,,,,
"",,,,1237,0,1237,,,,,,
Pir Shah,2  0  7  0  4  1  4  0  3,,,0,201,201,,,,,,
Pir Shah,2  0  7  0  4  1  4  0  4,,,0,347,347,,,,,,
Chak Pir Shah,207041405,,,0,77,77,,,,,,
Memoor Vaseer,207041406,,,0,64,64,,,,,,
"",,Chak Vaseer,207041407,,,,0,35,35,,,
"",,,,,,0,724,724,,,,
128,"Union Council Office Karam Pur(Male) (P)",Karam Pur,207130101,,,,361,0,361,2,0,2
"",,Karam Pur,207130102,,,186,0,186,,,,
"",,Karam Pur,207130103,,,245,0,245,,,,
"",,Karam Pur,207130104,,,492,0,492,,,,
"",,,,,,1284,0,1284,,,,
129,"Boys Middle School Karam Pur(combined) (P)",Karam Pur,207130204,,,,387,292,679,1,1,2
Karam Pur,207130205,,,273,261,534,,,,,,
"",,,,660,553,1213,,,,,,
Karam Pur,207130101,,,0,253,253,,,,,,
Karam Pur,207130102,,,0,158,158,,,,,,
Karam Pur,207130103,,,0,171,171,,,,,,
Karam Pur,207130104,,,0,385,385,,,,,,
"",,,,,,,0,967,967,,,
131,"Girls High School Karam Pur(Female) (P)",Karam Pur,207130105,,,,0,341,341,0,2,2
"",,Karam Pur,207130201,,,0,365,365,,,,
"",,Karam Pur,207130202,,,0,260,260,,,,
"",,Karam Pur,207130203,,,0,244,244,,,,
"",,Karam Pur,207130206,,,0,183,183,,,,
"",,Karam Pur,207130207,,,0,251,251,,,,
"",,,,,,0,1644,1644,,,,
132,"Boys Higher Secondary SchoolKaram Pur   (Male) (P)",Karam Pur,207130105,,,,428,0,428,2,0,2
Karam Pur,207130201,,,510,0,510,,,,,,
Karam Pur,207130202,,,339,0,339,,,,,,
"",,,,1277,0,1277,,,,,,
Karam Pur,207130203,,,353,0,353,,,,,,
Karam Pur,207130206,,,352,0,352,,,,,,
"",Karam Pur   (Male) (P),Karam Pur,207130207,,,,274,0,274,,,
"",,,,,,979,0,979,,,,
134,Rural Health Centre Karam Pur,Karam Pur,207040501,,,,0,348,348,0,2,2
"",,Zoor Kot,207040502,,,0,113,113,,,,
"",,Zoor Kot,207040503,,,0,397,397,,,,
"",,,,,,0,858,858,,,,
135,"Govt. Highier Secondary SchoolKaram Pur (Male) (P)",Karam Pur,207040501,,,,443,0,443,2,0,2
Zoor Kot,207040502,,,151,0,151,,,,,,
Zoor Kot,207040503,,,523,0,523,,,,,,
"",,,,1117,0,1117,,,,,,
Kot Qazi,2  0  7  0  4  0  5  0  6,,,529,335,864,,,,,,
Kharal Khakhani,207040504,,,220,157,377,,,,,,
Kharal Khakhani,207040505,,,250,165,415,,,,,,
137,"Boys Pry. School Hassan Shah(Male)",Hassan Shah,207041303,,,,264,0,264,2,0,2
"",,Hassan Shah,207041304,,,486,0,486,,,,
"",,Hassan Shah,207041305,,,391,0,391,,,,
"",,Hassan Shah,207041306,,,219,0,219,,,,
"",,,,,,1360,0,1360,,,,
138,"Boys Pry. School Hassan Shah(Male)",Hassan Shah,207041307,,,,222,0,222,2,0,2
Hassan Shah,207041308,,,609,0,609,,,,,,
Hassan Shah,207041309,,,199,0,199,,,,,,
Hassan Shah,207041310,,,192,0,192,,,,,,
"",,,,1222,0,1222,,,,,,
Hassan Shah,207041303,,,0,178,178,,,,,,
Hassan Shah,207041304,,,0,388,388,,,,,,
Hassan Shah,207041305,,,0,214,214,,,,,,
Hassan Shah,207041306,,,0,210,210,,,,,,
139,"Girls Pry. School Hassan Shah(Female)",Hassan Shah,207041307,,,,0,213,213,0,3,3
"",Hassan Shah,207041308,,,0,384,384,,,,,
"",Hassan Shah,207041309,,,0,142,142,,,,,
"",Hassan Shah,207041310,,,0,103,103,,,,,
"",,,,,0,1832,1832,,,,,
140,"Boys Pry School Bangla Rasool Pur(P)",Kalia Shah,207041301,,,,216,177,393,1,1,2
"",Kalia Shah,207041302,,,246,165,411,,,,,
"",,,,,462,342,804,,,,,
141,"Girls Pry. School Muhammad Shah(P)",Muhammad Shah,2070401203,,,,334,177,511,1,1,2
"",Muhammad Shah,2070401204,,,355,310,665,,,,,
"",,,,,689,487,1176,,,,,
142,"Girls Pry. School Muhammad Shah(P)",Muhammad Shah,2070401205,,,,524,395,919,1,1,2
"",,,,524,395,919,,,,,,
Muhammad Shah,2070401206,,,0,176,176,,,,,,
143,"Gvot. High School Muhammad ShahPry. Portion (Female) (P)",Muhammad Shah,2070401207,,,,0,281,281,0,1,1
"",,Muhammad Shah,2070401208,,,0,192,192,,,,
"",,Muhammad Shah,2070401209,,,0,168,168,,,,
"",,,,,,0,817,817,,,,
144,"Gvot. High School Muhammad ShahPry. Portion (Female) (P)",Muhammad Shah,2070401206,,,,298,0,298,2,0,2
"",,Muhammad Shah,2070401207,,,419,0,419,,,,
"",,Muhammad Shah,2070401208,,,292,0,292,,,,
"",,Muhammad Shah,2070401209,,,230,0,230,,,,
"",,,,,,1239,0,1239,,,,
145,"Govt.  Model Pry. School GahnwariBalouch","GahnwariBalouch",207041201,,,,370,342,712,1,1,2
"GahnwariBalouch",207041202,,,463,240,703,,,,,,
"",,,,833,582,1415,,,,,,
Ahmed Pur,207040602,,,613,381,994,,,,,,
Ahmed Pur,207040603,,,343,224,567,,,,,,
"",,,,,,,956,605,1561,,,
147,Govt. Pry. School Amin Pur (P),Kot Mehmood,207040601,,,,159,117,276,2,1,3
"",Amin Pur,207040604,,,367,250,617,,,,,
"",Amin Pur,207040605,,,386,303,689,,,,,
"",Amin Pur,207040606,,,146,92,238,,,,,
"",,,,,1058,762,1820,,,,,
148,"Girls Pry. School Kotly Mahtum(Combined) (P)",Kotly Mahtum,207040902,,,,325,292,617,2,1,3
"",Kotly Mahtum,207040903,,,575,444,1019,,,,,
"",,,,,900,736,1636,,,,,
149,"Boys Pry. School Kotly Mahtum(Combined) (P)",Kotly Mahtum,207040904,,,,719,568,1287,2,1,3
Kotly Mahtum,207040905,,,167,117,284,,,,,,
Kotly Mahtum,207040906,,,8,2,10,,,,,,
"",,,,894,687,1581,,,,,,
Kotly Mahtum,207040907,,,385,287,672,,,,,,
150,Boys Pry. School Kotly Mahtum  (P),Kotly Mahtum,207040908,,,,5,1,6,1,1,2
"",,Kotly Mahtum,207040909,,,160,92,252,,,,
"",,Kotly Mahtum,207040910,,,253,143,396,,,,
"",,,,,,803,523,1326,,,,
151,Boys Pry. School Kotly Mahtum  (P),Kotly Mahtum,207040911,,,,291,242,533,1,1,2
"",,Kotly Mahtum,207040912,,,168,123,291,,,,
"",,Sasrani,207040901,,,211,125,336,,,,
"",,,,,,670,490,1160,,,,
152,"Boys High School School Sargana(Male) (P)",Sargana,207040101,,,,426,0,426,2,0,2
Sargana,207040102,,,211,0,211,,,,,,
Sargana,207040103,,,399,0,399,,,,,,
"",,,,1036,0,1036,,,,,,
Sargana,207040104,,,553,0,553,,,,,,
Sargana,207040105,,,317,0,317,,,,,,
"",(Male) (P),Sargana,207040106,,,,203,0,203,,,
"",,,,,,1073,0,1073,,,,
154,"Girls Middle School Sargana(Female) (P)",Sargana,207040101,,,,0,235,235,0,2,2
"",,Sargana,207040102,,,0,140,140,,,,
"",,Sargana,207040103,,,0,231,231,,,,
"",,Sargana,207040104,,,0,433,433,,,,
"",,Sargana,207040105,,,0,212,212,,,,
"",,Sargana,207040106,,,0,106,106,,,,
"",,,,,,0,1357,1357,,,,
155,Boys Pry. School Sher Garh (P),Sher Garh,207041101,,,,385,289,674,1,1,2
Sher Garh,207041103,,,233,182,415,,,,,,
"",,,,618,471,1089,,,,,,
Sher Garh,207041102,,,498,399,897,,,,,,
157,Boys Pry. School Jlal Qahum (P),Jalal Qahum,2 07041104,,,,548,386,934,2,1,3
"",,Jalal Qahum,2 07041105,,,246,156,402,,,,
"",,70/KB,207041106,,,278,174,452,,,,
"",,,,,,1072,716,1788,,,,
158,Boys  Pry. School Gujjar (P),Gujjar,2  0  7041001,,,,249,153,402,1,1,2
"",,Gujjar,2  0  7041002,,,384,243,627,,,,
"",,,,,,633,396,1029,,,,
159,Boys  Pry. School Gujjar (P),Gujjar,2  0  7041003,,,,613,397,1010,2,1,3
"",,Gujjar,2  0  7041004,,,383,224,607,,,,
"",,,,,,996,621,1617,,,,
160,Boys Pry. School Noor Shah (P),Noor Shah,207040307,,,,367,261,628,1,1,2
Noor Shah,207040309,,,198,132,330,,,,,,
"",,,,565,393,958,,,,,,
Noor Shah,207040308,,,581,534,1115,,,,,,
"",,,,,,,581,534,1115,,,
162,Govt. Pry. School 68/KB (P),68/KB,2  0  7  0  4  0  3  0  4,,,,195,227,422,2,1,3
"",,68/KB,2  0  7  0  4  0  3  0  5,,,523,371,894,,,,
"",,69/KB,207040306,,,171,108,279,,,,
"",,,,,,889,706,1595,,,,
163,Girls Middle School 67/KB (P),67/KB,207040302,,,,307,234,541,1,1,2
"",,67/KB,207040303,,,468,377,845,,,,
"",,,,,,775,611,1386,,,,
164,Boys  Pry. School 66/KB (P),66/KB,2  0  7  040301,,,,271,225,496,1,1,2
Kot Soro,207040310,,,551,441,992,,,,,,
"",,,,822,666,1488,,,,,,
69/WB,207040203,,,519,0,519,,,,,,
69/WB,207040204,,,515,0,515,,,,,,
166,"Govt. Middle School  69/WB(combined) (P)",69/WB,207040201,,,,276,236,512,2,1,3
"",,69/WB,207040202,,,253,138,391,,,,
"",,69/WB,207040205,,,454,328,782,,,,
"",,,,,,983,702,1685,,,,
167,"Girls High Sichool 69/WB (Female)(P)",69/WB,207040203,,,,0,408,408,0,2,2
"",,69/WB,207040204,,,0,460,460,,,,
"",,,,,,0,868,868,,,,
168,Boys Pry School 71/WB,71/WB,207040208,,,,312,234,546,1,1,2
"",,71/WB,207040209,,,220,148,368,,,,
"",,,,,,532,382,914,,,,
169,Boys Pry. School 73/WB(P)(Male),73/WB,207040206,,,,326,0,326,1,0,1
73/WB,207040207,,,568,0,568,,,,,,
"",,,,894,0,894,,,,,,
73/WB,207040206,,,0,245,245,,,,,,
170,Boys Pry. School 73/WB(P) (Female),73/WB,207040207,,,,0,448,448,0,1,1
"",,,,,,0,693,693,,,,
171,Boys Pry. School 222/EB (P),222/EB,205040607,,,,364,208,572,1,1,2
"",,222/EB,205040608,,,256,181,437,,,,
"",,,,,,620,389,1009,,,,
172,Girls Pry. School 226/EB (P),226/EB,205040605,,,,455,348,803,1,1,2
"",,,,,,455,348,803,,,,
173,"Govt. Model Primary School 224/EB(P)",224/EB,205040606,,,,420,331,751,1,1,2
"",,,,420,331,751,,,,,,
228/EB,205040601,,,211,0,211,,,,,,
228/EB,205040602,,,676,0,676,,,,,,
228/EB,205040603,,,400,0,400,,,,,,
228/EB,205040604,,,380,0,380,,,,,,
175,"Girls Middle School 228/EB(Female) (P)",228/EB,205040601,,,,0,126,126,0,2,2
"",,228/EB,205040602,,,0,532,532,,,,
"",,228/EB,205040603,,,0,322,322,,,,
"",,228/EB,205040604,,,0,254,254,,,,
"",,,,,,0,1234,1234,,,,
176,Govt  Girls Pry. School 202/EB (P),202/EB,205040201,,,,503,436,939,1,1,2
"",,,,,,503,436,939,,,,
177,Govt. Pry School  School 208/EB (P),208/EB,205040203,,,,284,213,497,1,1,2
"",,,,,,284,213,497,,,,
178,Boys  Middle. School 204/EB (P),204/EB,205040202,,,,396,312,708,1,1,2
204/EB,205040205,,,293,158,451,,,,,,
"",,,,689,470,1159,,,,,,
206/EB,205040901,,,496,393,889,,,,,,
180,Girls Middle. School 212/EB (P),212/EB,205040903,,,,632,479,1111,1,1,2
"",,,,,,632,479,1111,,,,
181,Boys  Pry. School 214/EB (P),210/EB,205040902,,,,218,111,329,2,1,3
"",,214/EB,205040904,,,508,338,846,,,,
"",,214/EB,205040905,,,222,158,380,,,,
"",,,,,,948,607,1555,,,,
182,Govt  Middle. School 216/EB (P),216/EB,205040204,,,,506,425,931,2,1,3
"",,216/EB,205040206,,,519,414,933,,,,
"",,,,,,1025,839,1864,,,,
183,Boys Middle School 192/EB(P),192/EB,205041201,,,,483,354,837,2,1,3
192/EB,205041202,,,416,317,733,,,,,,
"",,,,899,671,1570,,,,,,
194/EB,205041203,,,562,377,939,,,,,,
194/EB,205041204,,,325,306,631,,,,,,
"",,,,,,,887,683,1570,,,
185,"Boys Middle School 196/EB(Male)(P)",196/EB,205041205,,,,448,0,448,2,0,2
"",,196/EB,205041206,,,381,0,381,,,,
"",,196/EB,205041207,,,516,0,516,,,,
"",,,,,,1345,0,1345,,,,
186,"Govt. Grils  Pry. School 196/EB(Female)(P)",196/EB,205041205,,,,0,286,286,0,1,1
"",,196/EB,205041206,,,0,260,260,,,,
"",,196/EB,205041207,,,0,310,310,,,,
"",,,,,,0,856,856,,,,
187,Boys High School 198/EB(P),198/EB,205041208,,,,412,289,701,1,1,2
198/EB,205041210,,,157,56,213,,,,,,
"",,,,569,345,914,,,,,,
198/EB,205041209,,,696,539,1235,,,,,,
189,"Boys High School 24/WB HighPortion (Male) (P)",24/WB,205041101,,,,397,0,397,2,0,2
"",,24/WB,205041102,,,758,0,758,,,,
"",,24/WB,205041103,,,270,0,270,,,,
"",,,,,,1425,0,1425,,,,
190,"Boys High School 24/WB HighPortion (Male) (P)",24/WB,205041104,,,,432,0,432,2,0,2
24/WB,205041105,,,402,0,402,,,,,,
24/WB,205041106,,,245,0,245,,,,,,
24/WB,205041107,,,115,0,115,,,,,,
"",,,,1194,0,1194,,,,,,
24/WB,205041101,,,0,298,298,,,,,,
24/WB,205041102,,,0,533,533,,,,,,
24/WB,205041103,,,0,234,234,,,,,,
24/WB,205041104,,,0,287,287,,,,,,
24/WB,205041105,,,0,261,261,,,,,,
"",,24/WB,205041106,,,,0,167,167,,,
"",,24/WB,205041107,,,0,71,71,,,,
"",,,,,,0,1851,1851,,,,
192,Govt. Model Pry School 28/WB,28/WB,205041108,,,,432,348,780,1,1,2
"",,28/WB,205041112,,,403,285,688,,,,
"",,,,,,835,633,1468,,,,
193,Boys  Pry. School 32/WB (Male) (P),32/WB,205041109,,,,368,0,368,2,0,2
32/WB,205041110,,,693,0,693,,,,,,
32/WB,205041111,,,510,0,510,,,,,,
"",,,,1571,0,1571,,,,,,
32/WB,205041109,,,0,250,250,,,,,,
32/WB,205041110,,,0,558,558,,,,,,
32/WB,205041111,,,0,369,369,,,,,,
195,Boys High School 34/WB (Male) (P),34/WB,205040701,,,,282,0,282,3,0,3
"",34/WB,205040702,,,334,0,334,,,,,
"",34/WB,205040703,,,722,0,722,,,,,
"",34/WB,205040704,,,451,0,451,,,,,
"",,,,,1789,0,1789,,,,,
196,"Boys Pry. School 34/WB (Female)(P)",34/WB,205040701,,,,0,203,203,0,2,2
"",34/WB,205040702,,,0,234,234,,,,,
"",34/WB,205040703,,,0,561,561,,,,,
"",34/WB,205040704,,,0,340,340,,,,,
"",,,,,0,1338,1338,,,,,
197,Boys Pry. School 36/WB (P),36/WB,205040705,,,,635,477,1112,2,1,3
36/WB,205040706,,,401,296,697,,,,,,
"",,,,1036,773,1809,,,,,,
218/EB,205041005,,,832,529,1361,,,,,,
"",,,,,,,832,529,1361,,,
199,Boys Pry. School 220/EB (P),220/EB,205041003,,,,584,432,1016,1,1,2
"",,,,,,584,432,1016,,,,
200,Boys Pry. School 220/EB (P),220/EB,205041004,,,,614,425,1039,1,1,2
"",,,,,,614,425,1039,,,,
201,Boys Pry. School 230/EB (P),230/EB,205041001,,,,437,285,722,2,1,3
"",,230/EB,205041002,,,482,308,790,,,,
"",,,,,,919,593,1512,,,,
202,"Boys Pry School Jungle Burali No. 2(P)",Jungle Burali,205040304,,,,453,371,824,2,1,3
Jungle Burali,205040305,,,265,176,441,,,,,,
Jungle Burali,205040306,,,324,200,524,,,,,,
"",,,,1042,747,1789,,,,,,
232/EB,205040301,,,485,332,817,,,,,,
232/EB,205040303,,,350,236,586,,,,,,
"",,,,,,,835,568,1403,,,
204,Boys  Pry. School 232/EB (P),232/EB,205040302,,,,459,421,880,1,1,2
"",,,,,,459,421,880,,,,
205,Boys Pry School 26/WB (P),26/WB,205040401,,,,223,151,374,2,1,3
"",,26/WB,205040402,,,572,461,1033,,,,
"",,26/WB,205040403,,,176,123,299,,,,
"",,,,,,971,735,1706,,,,
206,Boys High School 56/WB  (P),56/WB,205060205,,,,285,234,519,1,1,2
"",,56/WB,205060206,,,395,228,623,,,,
"",,,,,,680,462,1142,,,,
207,Girls High School 56/WB  (P),56/WB,205060207,,,,426,248,674,1,1,2
56/WB,205060208,,,423,495,918,,,,,,
"",,,,849,743,1592,,,,,,
38/WB,205040801,,,331,235,566,,,,,,
208,Boys Pry. School 38/WB (P),38/WB,205040802,,,,228,169,397,1,1,2
"",,38/WB,205040803,,,113,99,212,,,,
"",,,,,,672,503,1175,,,,
209,"Govt Pry.  School   30/WB (P)(Male)",30/WB,205040404,,,,495,0,495,2,0,2
"",,30/WB,205040405,,,551,0,551,,,,
"",,,,,,1046,0,1046,,,,
210,"Govt Pry.  School   30/WB (P)(Female)",30/WB,205040404,,,,495,0,495,2,0,2
"",,30/WB,205040405,,,551,0,551,,,,
"",,,,,,1046,0,1046,,,,
211,Boys Pry. School 40/WB (P),40/WB,205040804,,,,439,289,728,1,1,2
"",,,,,,439,289,728,,,,
212,Boys Pry. School 40/WB (P),40/WB,205040805,,,,679,633,1312,1,1,2
"",,,,679,633,1312,,,,,,
58/WB,205060203,,,318,233,551,,,,,,
213,Boys Pry.  School 58/WB (P),58/WB,205060210,,,,359,260,619,1,1,2
"",,,,,,677,493,1170,,,,
214,Boys Pry.  School 58/WB (P),58/WB,205060204,,,,541,441,982,1,1,2
"",,,,,,541,441,982,,,,
215,Govt. Pry School  60/WB (P),60/WB,205060201,,,,268,150,418,1,1,2
"",,60/WB,205060209,,,325,256,581,,,,
"",,,,,,593,406,999,,,,
216,Govt. Pry School  60/WB (P),60/WB,205060202,,,,610,446,1056,1,1,2
"",,,,,,610,446,1056,,,,
217,Boys High School 62/WB  (P),62/WB,205060807,,,,369,231,600,1,1,2
62/WB,205060808,,,237,134,371,,,,,,
"",,,,606,365,971,,,,,,
62/WB,205060806,,,722,521,1243,,,,,,
219,Boys Pry.  School 66/WB (P),66/WB,205060803,,,,405,289,694,1,1,2
"",,66/WB,205060804,,,345,312,657,,,,
"",,,,,,750,601,1351,,,,
220,Boys Pry.  School 66/WB (P),66/WB,205060805,,,,410,322,732,1,1,2
"",,,,,,410,322,732,,,,
221,Govt. Model  Pry. School 64/WB (P),64/WB,205060801,,,,297,239,536,2,1,3
"",,64/WB,205060802,,,628,461,1089,,,,
"",,,,,,925,700,1625,,,,
222,Boys Pry.  School 42/WB (P),42/WB,205061008,,,,163,107,270,1,1,2
"",,42/WB,205061009,,,549,337,886,,,,
"",,,,,,712,444,1156,,,,
223,Boys Pry.  School 42/WB (P),42/WB,205061010,,,,445,572,1017,1,1,2
"",,,,445,572,1017,,,,,,
44/WB,205061004,,,313,0,313,,,,,,
224,Boys Pry.  School 44/WB (Male) (P),44/WB,205061005,,,,587,0,587,2,0,2
"",,44/WB,205061006,,,458,0,458,,,,
"",,44/WB,205061007,,,209,0,209,,,,
"",,,,,,1567,0,1567,,,,
225,"Girls Pry.  School 44/WB (Female)(P)",44/WB,205061004,,,,0,231,231,0,2,2
"",,44/WB,205061005,,,0,435,435,,,,
"",,44/WB,205061006,,,0,344,344,,,,
"",,44/WB,205061007,,,0,128,128,,,,
"",,,,,,0,1138,1138,,,,
226,Boys Pry.  School 46/WB (P),46/WB,205061001,,,,499,417,916,2,1,3
46/WB,205061002,,,411,211,622,,,,,,
"",,,,910,628,1538,,,,,,
48/WB,205061003,,,380,294,674,,,,,,
48/WB,205061011,,,345,282,627,,,,,,
"",,,,,,,725,576,1301,,,
228,Boys Pry.  School 72/WB,72/WB,205060301,,,,576,412,988,1,1,2
"",,,,,,576,412,988,,,,
229,Girls Pry.  School 54/WB (P),54/WB,205061101,,,,205,191,396,1,1,2
"",,54/WB,205061107,,,288,227,515,,,,
"",,,,,,493,418,911,,,,
230,Boys Middle  School 78/WB (P),78/WB,205060701,,,,821,508,1329,2,1,3
"",,78/WB,205060708,,,37,11,48,,,,
"",,,,,,858,519,1377,,,,
231,Boys Pry.  School 80/WB (P),80/WB,205060705,,,,92,46,138,1,1,2
80/WB,205060706,,,201,171,372,,,,,,
"",,,,293,217,510,,,,,,
80/WB,205060707,,,822,594,1416,,,,,,
233,Boys Pry.  School 174/WB (Male) (P),174/WB,205060702,,,,338,0,338,2,0,2
"",174/WB,205060703,,,238,0,238,,,,,
"",174/WB,205060704,,,597,0,597,,,,,
"",174/WB,205060709,,,284,0,284,,,,,
"",,,,,1457,0,1457,,,,,
234,"Girls Middle  School 174/WB(Female) (P)",174/WB,205060702,,,,0,237,237,0,2,2
"",174/WB,205060703,,,0,157,157,,,,,
"",174/WB,205060704,,,0,460,460,,,,,
"",174/WB,205060709,,,0,205,205,,,,,
"",,,,,0,1059,1059,,,,,
235,Health Centre 50/WB (P),50/WB,205060101,,,,7,9,16,2,1,3
50/WB,205060102,,,912,424,1336,,,,,,
"",,,,919,433,1352,,,,,,
50/WB,205060104,,,358,0,358,,,,,,
236,"Boys High  School   50/WB (Male)(P)",50/WB,205060103,,,,1047,0,1047,3,0,3
"",50/WB,205060105,,,316,0,316,,,,,
"",,,,,1721,0,1721,,,,,
237,"Girls Pry.  School   50/WB (Femael)(P)",50/WB,205060104,,,,0,198,198,0,2,2
"",50/WB,205060103,,,0,629,629,,,,,
"",50/WB,205060105,,,0,232,232,,,,,
"",,,,,0,1059,1059,,,,,
238,"Girls Community Middle School76/WB (P)",076/WB,205060303,,,,521,426,947,1,1,2
"",,,,,521,426,947,,,,,
239,"Girls Community Middle School76/WB (P)",076/WB,205060304,,,,214,160,374,1,1,2
076/WB,205060305,,,303,234,537,,,,,,
"",,,,517,394,911,,,,,,
172/WB,205060306,,,253,0,253,,,,,,
172/WB,205060307,,,378,0,378,,,,,,
"",,172/WB,205060308,,,,656,0,656,,,
"",,,,,1287,0,1287,,,,,
241,Boys High School 172/WB (Male) (P),172/WB,205060309,,,,443,0,443,1,0,1
"",172/WB,205060310,,,305,0,305,,,,,
"",,,,,748,0,748,,,,,
242,Boys High School 172/WB (Male) (P),172/WB,205060306,,,,0,179,179,0,2,2
"",172/WB,205060307,,,0,270,270,,,,,
"",172/WB,205060308,,,0,445,445,,,,,
"",172/WB,205060309,,,0,282,282,,,,,
"",172/WB,205060310,,,0,204,204,,,,,
"",,,,,0,1380,1380,,,,,
243,Maktab  School 52/WB Basi Khallar,"52/WB BastiKhallar",205061102,,,,465,281,746,1,1,2
"",,,,465,281,746,,,,,,
52/WB,205061103,,,863,604,1467,,,,,,
"",,,,,,,863,604,1467,,,
245,"Boys Middle.  School 52/WB East(P)",52/WB,205061104,,,,110,70,180,1,1,2
"",,52/WB,205061105,,,269,163,432,,,,
"",,52/WB,205061106,,,312,215,527,,,,
"",,,,,,691,448,1139,,,,
246,Girls Middle School 74/WB (P),74/WB,205060302,,,,444,326,770,1,1,2
"",,,,,,444,326,770,,,,
247,Boys High School 155/WB (Male) (P),155/WB,205060503,,,,411,0,411,2,0,2
155/WB,205060504,,,681,0,681,,,,,,
155/WB,205060505,,,158,0,158,,,,,,
"",,,,1250,0,1250,,,,,,
155/WB,205060501,,,668,501,1169,,,,,,
155/WB,205060502,,,120,73,193,,,,,,
249,"Girls Middle School 155/WB(Female) (P)",155/WB,205060503,,,,0,390,390,0,2,2
"",,155/WB,205060504,,,0,791,791,,,,
"",,155/WB,205060505,,,0,128,128,,,,
"",,,,,,0,1309,1309,,,,
250,Boys Pry. School 159/WB (P),159/WB,205060506,,,,479,377,856,1,1,2
"",,,,,,479,377,856,,,,
251,Boys Pry. School 159/WB (P),159/WB,205060507,,,,611,479,1090,1,1,2
"",,,,,,611,479,1090,,,,
252,Boys Pry. School 157/WB (Male) (P),157/WB,205060905,,,,713,0,713,3,0,3
157/WB,205060906,,,384,0,384,,,,,,
157/WB,205060907,,,396,0,396,,,,,,
157/WB,205060908,,,278,0,278,,,,,,
"",,,,1771,0,1771,,,,,,
157/WB,205060905,,,0,613,613,,,,,,
253,"Girls Pry. School 157/WB (Female)(P)",157/WB,205060906,,,,0,308,308,0,2,2
"",157/WB,205060907,,,0,339,339,,,,,
"",157/WB,205060908,,,0,214,214,,,,,
"",,,,,0,1474,1474,,,,,
254,Girls  Pry. School 161/WB,161/WB,205060903,,,,513,458,971,2,1,3
"",161/WB,205060904,,,380,329,709,,,,,
"",,,,,893,787,1680,,,,,
255,Govt. Middle  School 163/WB (P),163/WB,205060901,,,,427,373,800,1,1,2
"",163/WB,205060902,,,355,263,618,,,,,
"",,,,,782,636,1418,,,,,
256,Govt. Middle  School 163/WB (P),163/WB,205060909,,,,492,363,855,1,1,2
"",,,,492,363,855,,,,,,
87/WB,205060401,,,476,0,476,,,,,,
87/WB,205060402,,,228,0,228,,,,,,
257,"Boys Middle. School 87/WB (Male)(P)",87/WB,205060403,,,,180,0,180,2,0,2
"",,87/WB,205060404,,,676,0,676,,,,
"",,,,,,1560,0,1560,,,,
258,"Girls Middle. School 87/WB(Female) (P)",87/WB,205060401,,,,0,396,396,0,2,2
"",,87/WB,205060402,,,0,183,183,,,,
