"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated","Number of Votersassigned to PollingStation",No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
78,"Govt. High School Usman Khattar,(Female)(P)",عثمان کھٹڑ، مشرقی,113010418,-,-,,0,610,610,0,0,0
"",,عثمان کھٹڑ,113010419,-,-,,0,67,67,0,0,0
Total,,,,,,,0,677,677,0,1,1
79,"Govt Girls Community Model School,Usman Khattar, Taxila (Male)(P)",عثمان کھٹڑ غربی,113010420,-,-,,363,0,363,0,0,0
"",,عثمان کھٹڑتوتیاں,113010421,-,-,,416,0,416,0,0,0
Total,,,,,,,779,0,779,2,0,2
80,"Govt Girls Community Model School,Usman Khattar (Female)(P)",عثمان کھٹڑ غربی,113010420,-,-,,0,369,369,0,0,0
"",,عثمان کھٹڑتوتیاں,113010421,-,-,,0,345,345,0,0,0
Total,,,,,,,0,714,714,0,2,2
81,"Govt Boys Primary School KhurramParacha. (combined)(P)",خرم پراچہ,113010501,-,-,,620,557,"1,177",0,0,0
"",,خرم پراچہ,113010502,-,-,,652,592,"1,244",0,0,0
"",,خرم پراچہ,113010503,-,-,,144,126,270,,,
Total,,,,,,,1416,1275,2691,2,2,4
82,"Govt Boys High School Khuram Paracha.(combined)(P)",گانگو بہادر,113010505,-,-,,623,509,"1,132",0,0,0
"",,گانگو بہادر,113010506,-,-,,221,196,417,0,0,0
Total,,,,,,,844,705,"1,549",2,2,4
83,"Govt Boys Elementry School, UET(Male)(P)",موہڑہ مرادو,113010504,-,-,,467,0,467,0,0,0
Total,,,,,,,467,0,467,1,0,1
84,"Govt Boys Elementary School, GangooBahadur (Female)(P)",موہڑہ مرادو,113010504,-,-,,0,367,367,0,0,0
Total,,,,,,,0,367,367,0,1,1
85,"Govt Boys High School Khuram Paracha(combined)(P)",گانگو جمعہ,113010509,-,-,,373,308,681,0,0,0
"",,گانگو جمعہ,113010510,-,-,,154,104,258,0,0,0
"",,گانگو جمعہ,113010511,-,-,,173,173,346,0,0,0
"",,خرم گوجر,113010508,-,-,,937,893,"1,830",0,0,0
Total,,,,,,,1637,1478,"3,115",3,3,6
86,"Govt Girls Elementary School GangooJumma, (combined)(P)",بل,113010507,-,-,,4,7,11,0,0,0
Total,,,,,,,4,7,11,1,1,2
87,"Govt Boys Primary School SaraiKhola(Male)(P)",-,-,سرائے کھولا,113030101,,294,0,294,0,0,0
"",,-,-,سرائے کھولا,113030106,,387,0,387,0,0,0
Total,,,,,,,681,0,681,1,0,1
88,"Govt Boys Primary School SaraiKhola(Male)(P)",-,-,سرائے کھولا,113030102,,1076,0,"1,076",0,0,0
Total,,,,,,,1076,0,"1,076",2,0,2
"",,-,-,سرائے کھولا,113030103,,511,0,511,0,0,0
"",(Female)(P),-,-,سرائے کھولا,113030106,,0,302,302,0,0,0
Total,,,,,,,0,513,513,0,1,1
90,"Govt Girls Primary School Sarai Kala,(Female)(P)",-,-,سرائے کھولا,113030102,,0,704,704,0,0,0
"",,-,-,سرائے کھولا,113030103,,0,439,439,0,0,0
Total,,,,,,,0,1143,"1,143",0,2,2
91,"Islamic Public School Thatha Khalil Road,Taxila (Male)(T).",-,-,جمیل آباد,113030104,,232,0,232,0,0,0
"",,-,-,جمیل آباد,113030107,,195,0,195,0,0,0
Total,,,,,,,427,0,427,1,0,1
92,"Islamic Public School Thatha Khalil Road,Taxila (Male)(T).",-,-,جمیل آباد,113030108,,257,0,257,0,0,0
Total,,,,,,,257,0,257,1,0,1
93,"Ghandara High School, St No-13 ThathaKhalil Road, Taxila (Female)",-,-,جمیل آباد,113030104,,0,200,200,0,0,0
"",,-,-,جمیل آباد,113030107,,0,161,161,0,0,0
"",,-,-,جمیل آباد,113030108,,0,213,213,0,0,0
"",,-,-,صادق آباد,113030105,,0,422,422,0,0,0
Total,,,,,,,0,0,0,0,2,2
94,"Govt Boys Primary SchoolJamilabad,Taxila (Male)(P).",-,-,صادق آباد,113030105,,553,0,553,0,0,0
"",,-,-,-,-,,553,0,553,1,0,1
95,"Govt Taleem-Ul-Quran School, Taxila,Faisal Shaheed Road, Taxila, (Male) (P)",-,-,محلہ عید گاہ,113030301,,533,0,533,0,0,0
Total,,,,,,,533,0,533,1,0,1
96,"Govt Taleem-Ul-Quran School, Taxila,Faisal Shaheed Road, Taxila, (Male) (P)",-,-,مشن ہسپتال روڈ,113030302,,355,0,355,0,0,0
"",,-,-,محلہ مشرقی آبادی,113030303,,591,0,591,0,0,0
Total,,,,,,,946,0,946,2,0,2
97,"Govt Taleem-Ul-Quran School, Taxila,Faisal Shaheed Road, Taxila, (Female) (P)",-,-,محلہ عید گاہ,113030301,,0,478,478,0,0,0
"",,-,-,مشن ہسپتال روڈ,113030302,,0,327,327,0,0,0
"",,-,-,محلہ مشرقی آبادی,113030303,,0,516,516,0,0,0
Total,,,,,,,0,1321,"1,321",0,2,2
98,"Muncipal Committee Model School,Taxila.(Male)(P)",-,-,سرائے کالا,113030204,,317,0,317,0,0,0
"",,-,-,سرائے کالا,113030208,,261,0,261,0,0,0
"",,-,-,کرسچن ہسپتال,113030207,,273,0,273,0,0,0
Total,,,,,,,851,0,851,2,0,2
99,"Muncipal Committee ModelSchool,Taxila.(Female)(P)",-,-,سرائے کالا,113030204,,0,252,252,0,0,0
"",,-,-,سرائے کالا,113030208,,0,183,183,0,0,0
"",,-,-,کرسچن ہسپتال,113030207,,0,280,280,0,0,0
Total,,,,,,,0,715,715,0,2,2
100,"Govt. Inter College, Mohallah Pari Taxila(Male)(P)",-,-,محلہ پڑی,113030305,,407,0,407,0,0,0
Total,,,,,,,407,0,407,1,0,1
"-",-,بنی محلہ,113030206,,612,0,612,0,0,0,,
"",,-,-,محلہ پڑی,113030201,,314,0,314,0,0,0
Total,,,,,,,1167,0,"1,167",2,0,2
102,"Govt. Inter College College, MohallahPari, Taxila, (Female) (P)",-,-,محلہ پڑی,113030305,,0,334,334,0,0,0
"",,-,-,بنی محلہ,113030206,,0,539,539,0,0,0
"",,-,-,بنی محلہ,113030209,,0,236,236,0,0,0
"",,-,-,محلہ پڑی,113030201,,0,234,234,0,0,0
Total,,,,,,,0,1343,"1,343",0,2,2
103,"Govt High School Taxila (Chowk SaraiKala) (Male) (P)",-,-,عبدالله آباد، گوہر آباد,113030202,,541,0,541,0,0,0
Total,,,,,,,541,0,541,1,0,1
104,"Govt High School Taxila (Chowk SaraiKala) (Male) (P)",-,-,محلہ منظور آباد,113030203,,553,0,553,0,0,0
"",,-,-,محلہ پڑی,113030304,,669,0,669,0,0,0
Total,,,,,,,1222,0,"1,222",2,0,2
105,"Govt High School Taxila (Chowk SaraiKala) (Female) (P)",-,-,عبدالله آباد، گوہر آباد,113030202,,0,366,366,0,0,0
"",,-,-,محلہ منظور آباد,113030203,,0,424,424,0,0,0
"",,-,-,محلہ پڑی,113030304,,0,521,521,0,0,0
Total,,,,,,,0,1311,"1,311",0,2,2
106,Vaterenty Hospital Taxila. (Male)(T),-,-,بنی محلہ,113030205,,250,0,250,0,0,0
"",,-,-,محلہ پڑی,113030306,,1242,0,"1,242",0,0,0
"",,-,-,محلہ پڑی,113030307,,379,0,379,0,0,0
"",,-,-,محلہ پڑی,113030308,,18,0,18,0,0,0
Total,,,,,,,1889,0,"1,889",3,0,3
107,Vaterenty Hospital Taxila. (Female)(T),-,-,بنی محلہ,113030205,,0,241,241,0,0,0
"",,-,-,محلہ پڑی,113030306,,0,1055,"1,055",0,0,0
"",,-,-,محلہ پڑی,113030307,,0,381,381,0,0,0
"",,-,-,محلہ پڑی,113030308,,0,10,10,0,0,0
Total,,,,,,,0,1687,"1,687",0,3,3
108,"Govt Taleem-ul-Quran Primary School,Main Bazar, Taxila  (Male)(P).",-,-,محلہ پھلائیاں,113040101,,1079,0,"1,079",0,0,0
Total,,,,,,,1079,0,"1,079",2,0,2
109,"Govt Taleem-ul-Quran Primary School,Main Bazar, Taxila  (Male)(P).",-,-,محلہ گھیلا خورد,113040102,,1117,0,"1,117",0,0,0
Total,,,,,,,1117,0,"1,117",2,0,2
110,Muncipal Liabrary Taxila (Female)(P),-,-,محلہ پھلائیاں,113040101,,0,1026,"1,026",0,0,0
Total,,,,,,,0,1026,"1,026",0,2,2
111,Muncipal Liabrary Taxila (Female)(P),-,-,محلہ گھیلا خورد,113040102,,0,945,945,0,0,0
Total,,,,,,,0,945,945,0,2,2
112,"Govt Primary School Railway Road Taxila.(Male)(P)",-,-,محلہ گھیلا خورد,113040103,,416,0,416,0,0,0
"",,-,-,محلہ گھیلا خورد,113040104,,687,0,687,0,0,0
Total,,,,,,,1103,0,"1,103",2,0,2
"-",-,محلہ گھیلا خورد,113040103,,0,384,384,0,0,0,,
Total,,,,,,,0,1030,"1,030",0,2,2
114,Govt Girls High School Taxila (Male)(P),-,-,محلہ دکن,113040105,,599,0,599,0,0,0
"",,-,-,عنایت شاہی محلہ,113040203,,655,0,655,0,0,0
Total,,,,,,,1254,0,"1,254",2,0,2
115,"Govt Girls High School Taxila, (Female)(P)",-,-,محلہ دکن,113040105,,0,576,576,0,0,0
"",,-,-,عنایت شاہی محلہ,113040203,,0,580,580,0,0,0
Total,,,,,,,0,1156,"1,156",0,2,2
116,"Ghandara School Mohallah MakranTaxila. (Male)(T)",-,-,محلہ مکران,113040201,,700,0,700,0,0,0
"",,-,-,محلہ مکران,113040206,,196,0,196,0,0,0
Total,,,,,,,896,0,896,2,0,2
117,"Ghandara School Mohallah MakranTaxila. (Male)(T)",-,-,ڈھیری شاہاں,113040202,,350,0,350,0,0,0
Total,,,,,,,350,0,350,1,0,1
118,"Govt Boys Primary School Railway RoadTaxila. (Female)(P)",-,-,محلہ مکران,113040201,,0,625,625,0,0,0
"",,-,-,محلہ مکران,113040206,,0,149,149,0,0,0
"",,-,-,ڈھیری شاہاں,113040202,,0,349,349,0,0,0
Total,,,,,,,0,1123,"1,123",0,2,2
119,"Govt Boys Primary School, Mohra ShahWali, Taxila (Male)(T)",-,-,شاہ ولی شاہ,113040204,,290,0,290,0,0,0
"",,-,-,مجاور محلہ عنایت شاہی,113040205,,512,0,512,0,0,0
Total,,,,,,,802,0,802,2,0,2
120,"Govt Boys Primary School Mohra ShahWali, Taxila (Female)(T)",-,-,شاہ ولی شاہ,113040204,,0,266,266,0,0,0
"",,-,-,مجاور محلہ عنایت شاہی,113040205,,0,468,468,0,0,0
Total,,,,,,,0,734,734,0,2,2
121,"Govt Boys Elementry School GangooBahadur Taxila. (Male)(P)",-,-,موہڑہ شاہ ولی شاہ,113040301,,246,0,246,0,0,0
"",,-,-,گانگو بہادر,113040302,,263,0,263,0,0,0
"",,-,-,شاہ ولی شاہ/ گانگو,113040305,,529,0,529,0,0,0
Total,,,,,,,1038,0,"1,038",2,0,2
122,"Govt Boys Elementry School GangooBahadur Taxila. (Male)(P)",-,-,موہڑہ شاہ ولی شاہ,113040402,,829,0,829,0,0,0
Total,,,,,,,829,0,829,2,0,2
123,"Govt Middle School Gangoo BahadurTaxila. (Female)(P)",-,-,موہڑہ شاہ ولی شاہ,113040301,,0,185,185,0,0,0
"",,-,-,گانگو بہادر,113040302,,0,236,236,0,0,0
"",,-,-,شاہ ولی شاہ/ گانگو,113040305,,0,489,489,0,0,0
Total,,,,,,,0,910,910,0,2,2
124,"Govt Middle School Gangoo BahadurTaxila. (Female)(P)",-,-,موہڑہ شاہ ولی شاہ,113040402,,0,772,772,0,0,0
Total,,,,,,,0,772,772,0,2,2
"-",-,گانگو بہادر/شاہ ولی شاہ,113040303,,282,0,282,0,0,0,,
Total,,,,,,,899,0,899,2,0,2
126,Project Manager Officer Taxila (Male)(P),-,-,محلہ واڑیاں، مجاور,113040304,,594,0,594,0,0,0
Total,,,,,,,594,0,594,1,0,1
127,Project Manager Officer Taxila (Female)(P),-,-,گانگو بہادر/شاہ ولی شاہ,113040303,,0,233,233,0,0,0
"",,-,-,گانگو بہادر/شاہ ولی شاہ,113040306,,0,571,571,0,0,0
"",,-,-,محلہ واڑیاں، مجاور,113040304,,0,495,495,0,0,0
Total,,,,,,,0,1299,"1,299",0,2,2
128,"NasirJamal Shaheed Girls Sec. SchoolTaxila, ( (Male)(T)",-,-,ماڈل ٹاؤن ٹیکسلا,113040401,,655,0,655,0,0,0
"",,-,-,ایوبیہ ٹاؤن,113040403,,687,0,687,0,0,0
Total,,,,,,,1342,0,"1,342",2,0,2
129,"Convent Public School New Model TownTaxila (Female)(T)",-,-,ماڈل ٹاؤن ٹیکسلا,113040401,,0,610,610,0,0,0
"",,-,-,ایوبیہ ٹاؤن,113040403,,0,566,566,0,0,0
Total,,,,,,,0,1176,"1,176",0,2,2
130,"Govt Boys Elementary School Gohdu.(combined)(P)",گوہدو,113020101,-,-,,210,201,411,0,0,0
"",,گوہدو,113020102,-,-,,436,401,837,0,0,0
"",,گوہدو,113020103,-,-,,368,322,690,0,0,0
Total,,,,,,,1014,924,"1,938",2,2,4
131,"Govt Primary School, Sammu,(combined)(P)",سموں,113020104,-,-,,228,128,356,0,0,0
"",,سموں,113020105,-,-,,451,414,865,0,0,0
Total,,,,,,,679,542,"1,221",1,1,2
132,"Govt Boys High School Ghari Afghanan(Male)(P)",گڑھی افغاناں,113020106,-,-,,377,0,377,0,0,0
"",,گڑھی افغاناں,113020107,-,-,,211,0,211,0,0,0
"",,گڑھی افغاناں,113020108,-,-,,406,0,406,0,0,0
Total,,,,,,,994,0,994,2,0,2
133,"Govt Girls High School, Ghari Afghanan(Female)(P)",گڑھی افغاناں,113020106,-,-,,0,364,364,0,0,0
"",,گڑھی افغاناں,113020107,-,-,,0,180,180,0,0,0
"",,گڑھی افغاناں,113020108,-,-,,0,368,368,0,0,0
"",,گڑھی افغاناں,113020109,-,-,,0,283,283,0,0,0
"",,گڑھی افغاناں,113020110,-,-,,0,206,206,0,0,0
"",,گڑھی افغاناں,113020111,-,-,,0,379,379,0,0,0
Total,,,,,,,0,1780,"1,780",0,3,3
134,"Govt Boys High School Ghari Afghanan(Male)(P)",گڑھی افغاناں,113020109,-,-,,312,0,312,0,0,0
"",,گڑھی افغاناں,113020110,-,-,,246,0,246,0,0,0
"",,گڑھی افغاناں,113020111,-,-,,464,0,464,0,0,0
Total,,,,,,,1022,0,"1,022",2,0,2
135,"Govt Boys Primary School Kolian.(combined)(P)",کولیاں,113020112,-,-,,304,255,559,0,0,0
"کولیاں",113020113,-,-,,543,429,972,0,0,0,,
"کولیاں",113020114,-,-,,158,159,317,0,0,0,,
136,"Govt Boys Primary School, Bajjar, (Male)(P)",بجاڑ,113020201,-,-,,554,0,554,0,0,0
"",,بجاڑ,113020202,-,-,,468,0,468,0,0,0
Total,,,,,,,1022,0,"1,022",2,0,2
137,"Govt Girls Primary School Bajjar,(Female) (P)",بجاڑ,113020201,-,-,,0,448,448,0,0,0
"",,بجاڑ,113020202,-,-,,0,402,402,0,0,0
Total,,,,,,,0,850,850,0,2,2
138,"Govt Boys Primary School Malpur.(combined)(P)",ملپور,113020203,-,-,,611,579,"1,190",0,0,0
"",,ملپور,113020204,-,-,,139,126,265,0,0,0
Total,,,,,,,750,705,"1,455",2,2,4
139,"Govt Boys Primary School BhotiPind.(Male)(P)",پنڈ بہوٹی,113020301,-,-,,284,0,284,0,0,0
"",,پنڈ بہوٹی,113020302,-,-,,250,0,250,0,0,0
"",,پنڈ بہوٹی,113020303,-,-,,430,0,430,0,0,0
"",,پنڈ بہوٹی,113020304,-,-,,174,0,174,0,0,0
"",,پنڈ بہوٹی,113020305,-,-,,586,0,586,0,0,0
Total,,,,,,,1724,0,"1,724",3,0,3
140,"Govt Girls Elementary School Bhoti Pind.(Female) (P)",پنڈ بہوٹی,113020301,-,-,,0,253,253,0,0,0
"",,پنڈ بہوٹی,113020302,-,-,,0,205,205,0,0,0
"",,پنڈ بہوٹی,113020303,-,-,,0,370,370,0,0,0
"",,پنڈ بہوٹی,113020304,-,-,,0,170,170,0,0,0
"",,پنڈ بہوٹی,113020305,-,-,,0,503,503,0,0,0
Total,,,,,,,0,1501,"1,501",0,3,3
141,"Govt Boys High School Lab Thuthoo.(Male)(P)",لب ٹھٹھو,113020306,-,-,,454,0,454,0,0,0
"",,لب ٹھٹھو,113020307,-,-,,470,0,470,0,0,0
"",,لب ٹھٹھو,113020308,-,-,,158,0,158,0,0,0
Total,,,,,,,1082,0,"1,082",2,0,2
142,"Basic Health Unit, Lab thuthoo (Female)(T)",لب ٹھٹھو,113020306,-,-,,0,408,408,0,0,0
"",,لب ٹھٹھو,113020307,-,-,,0,392,392,0,0,0
"",,لب ٹھٹھو,113020308,-,-,,0,128,128,0,0,0
Total,,,,,,,0,928,928,0,2,2
143,"Govt Boys Primary School Lab Village(Male)(P)",لب ٹھٹھو,113020309,-,-,,574,0,574,0,0,0
"",,لب ٹھٹھو,113020310,-,-,,446,0,446,0,0,0
"",,لب ٹھٹھو,113020311,-,-,,251,0,251,0,0,0
Total,,,,,,,1271,0,"1,271",2,0,2
144,"Govt Girls Middle School Lab Village(Female)(P)",لب ٹھٹھو,113020309,-,-,,0,383,383,0,0,0
"",,لب ٹھٹھو,113020310,-,-,,0,424,424,0,0,0
"",,لب ٹھٹھو,113020311,-,-,,0,204,204,0,0,0
Total,,,,,,,0,1011,"1,011",0,2,2
145,"Govt. Boys Primary School, MohraNasroo, (Male) (P)",نکو,113020314,-,-,,432,0,432,0,0,0
"",,نکو,113020313,-,-,,311,0,311,0,0,0
Total,,,,,,,743,0,743,2,0,2
"","Nasroo, (Female) (P)",نکو,113020313,-,-,,0,269,269,0,0,0
Total,,,,,,,0,660,660,0,1,1
147,"Govt Boys Primary School Nikoo(Comb)(P).",نکو,113020312,-,-,,477,389,866,0,0,0
Total,,,,,,,477,389,866,1,1,2
148,"Govt Boys High School Wah Village(Male)(P)",واہ,113020401,-,-,,439,0,439,0,0,0
"",,واہ,113020402,-,-,,1206,0,"1,206",0,0,0
Total,,,,,,,1645,0,"1,645",3,0,3
149,"Govt Girls High School Wah Village(Female)(P).",واہ,113020401,-,-,,0,404,404,0,0,0
"",,واہ,113020402,-,-,,0,1037,"1,037",0,0,0
Total,,,,,,,0,1441,"1,441",0,3,3
150,"Union Council Office Wah Village(combined)(P).",واہ,113020403,-,-,,534,452,986,0,0,0
Total,,,,,,,534,452,986,1,1,2
151,"Govt Boys High School Wah Village(combined)(P)",واہ,113020404,-,-,,543,466,"1,009",0,0,0
"",,واہ,113020405,-,-,,148,138,286,0,0,0
"",,واہ,113020414,-,-,,335,292,627,0,0,0
Total,,,,,,,1026,896,"1,922",2,2,4
152,"Govt Girls Primary School DhokeJhatla.(Male)(P)",واہ,113020406,-,-,,1350,0,"1,350",0,0,0
Total,,,,,,,1350,0,"1,350",2,0,2
153,"Govt Girls Primary School DhokeJhatla.(Male)(P)",واہ,113020407,-,-,,365,0,365,0,0,0
"",,واہ,113020408,-,-,,292,0,292,0,0,0
"",,واہ,113020415,-,-,,252,0,252,0,0,0
Total,,,,,,,909,0,909,2,0,2
154,"Govt Girls Primary School Dhoke  Jhatla.(Female)(P)",واہ,113020406,-,-,,0,1206,"1,206",0,0,0
"",,واہ,113020407,-,-,,0,363,363,0,0,0
"",,واہ,113020408,-,-,,0,232,232,0,0,0
"",,واہ,113020415,-,-,,0,240,240,0,0,0
Total,,,,,,,0,2041,"2,041",0,4,4
155,"AC Model High School Wah CementWorks. (combined)(T)",اے سی واہ، ڈاکخانہ کالونی,113020409,-,-,,29,20,49,0,0,0
"",,اے سی واہ سیمنٹ ورکس,113020410,-,-,,178,177,355,0,0,0
"",,اے سی واہ، ڈاکخانہ کالونی,113020416,-,-,,46,46,92,0,0,0
"",,اے سی واہ، نظامیہ کالونی,113020411,-,-,,8,8,16,0,0,0
"",,اے سی واہ، نظامیہ کالونی,113020417,-,-,,1,1,2,0,0,0
Total,,,,,,,262,252,514,1,1,2
156,"Govt Boys Primary SchoolGattia.(combined)(P)",گٹیا,113020412,-,-,,46,36,82,0,0,0
"گٹیا",113020413,-,-,,698,612,"1,310",0,0,0,,
""
157,"Govt Boys Primary School DhokeMochian. (combined)(P)","ساگرہ براہمہ, ڈھوکموچیاں",113020501,-,-,,441,318,759,0,0,0
"",,ساگرہ براہمہ,113020502,-,-,,189,152,341,0,0,0
Total,,,,,,,630,470,"1,100",1,1,2
158,"Govt Boys Primary School Brahama.(combined)(P)",ساگرہ براہمہ,113020503,-,-,,589,562,"1,151",0,0,0
Total,,,,,,,589,562,"1,151",1,1,2
159,"Govt Girls Primary School Ghazi Koli(combined)(P)",غازی کوہلی,113020504,-,-,,708,643,"1,351",0,0,0
Total,,,,,,,708,643,"1,351",2,1,3
160,"Govt Girls Priamry School Dhoke Sadu.(combined)(P)",ڈھوک سیدو,113020601,-,-,,560,482,"1,042",0,0,0
"",,ڈھوک سیدو,113020602,-,-,,197,207,404,0,0,0
"",,ڈھوک سیدو,113020603,-,-,,201,193,394,0,0,0
Total,,,,,,,958,882,"1,840",2,2,4
161,"Govt Girls Primary School Ban Bhola, (Combined)",بن بھولا,113020604,-,-,,364,351,715,0,0,0
"",,بن بھولا,113020605,-,-,,286,254,540,0,0,0
Total,,,,,,,650,605,"1,255",1,1,2
162,"Govt Boys Primary School Malikabad NewBuilding (Male)(P)",جھگیاں,113020606,-,-,,245,0,245,0,0,0
Total,,,,,,,245,0,245,1,0,1
163,"Govt Boys Primary School, Malikabad OldBuilding (Female)(T)",جھگیاں,113020606,-,-,,0,206,206,0,0,0
Total,,,,,,,0,206,206,0,1,1
164,Roman Public School Malikabad. (Male)(T),جھگیاں,113020607,-,-,,494,0,494,0,0,0
"",,جھگیاں,113020608,-,-,,308,0,308,0,0,0
"",,جھگیاں,113020609,-,-,,980,0,980,0,0,0
Total,,,,,,,1782,0,"1,782",3,0,3
165,"Govt Boys Primary School, MalikabadNew Building (Female)(P)",جھگیاں,113020607,-,-,,0,364,364,0,0,0
"",,جھگیاں,113020608,-,-,,0,237,237,0,0,0
"",,جھگیاں,113020609,-,-,,0,830,830,0,0,0
Total,,,,,,,0,1431,"1,431",0,3,3
166,"Govt Boys Primary School Banian.Taxila,( Combined)",جلالہ,113020610,-,-,,632,506,"1,138",0,0,0
"",,جلالہ,113020611,-,-,,304,239,543,0,0,0
Total,,,,,,,936,745,"1,681",2,2,4
167,"Govt Girls Middle School Thutha Khalil.(combined)(P)",ٹھٹھہ خلیل,113020701,-,-,,518,364,882,0,0,0
Total,,,,,,,518,364,882,1,1,2
168,"Govt Boys High School Thatha Khalil.(Male)(P)",ٹھٹھہ خلیل,113020702,-,-,,837,0,837,0,0,0
"",,ٹھٹھہ خلیل,113020703,-,-,,691,0,691,0,0,0
"",,ٹھٹھہ خلیل,113020704,-,-,,282,0,282,0,0,0
Total,,,,,,,1810,0,"1,810",3,0,3
"ٹھٹھہ خلیل",113020702,-,-,,0,689,689,0,0,0,,
"",,ٹھٹھہ خلیل,113020704,-,-,,0,245,245,0,0,0
Total,,,,,,,0,1539,"1,539",0,3,3
170,"Govt Boys Primary School Pind Noshehri.(combined)(P)",پنڈ نوشہری,113020705,-,-,,703,503,"1,206",0,0,0
Total,,,,,,,703,503,"1,206",2,1,3
"Sr.No.",No. and Name of the Polling Stations.,In Case of Rural Areas,In Case of Urban Areas,"S.No of Voters onthe Electoral Roll incase Electoral Areais Bifurcated",,No of polling booths,,,,,,
"",,"Name of ElectoralAreas","CensusBlock Code","Name ofElectoral Areas","CensusBlockCode",Male,Female,Total,Male,Female,Total,
1,2,3,4,5,6,7,8,9,10,11,12,13
1,"POF Model School, 25 Area, Wah Cantt(Male)(P)",-,-,محلہ -6ایریا,115010101,,278,0,278,0,0,0
"",,-,-,محلہ -25ایف ہسپتال,115010102,,238,0,238,0,0,0
"",,-,-,محلہ -25ای,115010103,,346,0,346,0,0,0
"",,-,-,محلہ -25ایف ہسپتال,115010104,,137,0,137,0,0,0
Total,,,,,,,999,0,999,2,0,2
2,"POF Model School, 25 Area, Wah Cantt(Female)(P)",-,-,محلہ -6ایریا,115010101,,0,260,260,0,0,0
"",,-,-,محلہ -25ایف ہسپتال,115010102,,0,225,225,0,0,0
"",,-,-,محلہ -25ای,115010103,,0,333,333,0,0,0
"",,-,-,محلہ -25ایف ہسپتال,115010104,,0,140,140,0,0,0
Total,,,,,,,0,958,958,0,2,2
3,"F.G Girls High School, No-1 AnwarChowk, Wah Cantt (Male) (P)",-,-,محلہ -1ایف -1،ڈی,115010201,,337,0,337,0,0,0
"",,-,-,محلہ -3ایف، ڈی ٹائپ,115010202,,569,0,569,0,0,0
Total,,,,,,,906,0,906,2,0,2
4,"F.G Girls High School, No-1 AnwarChowk, Wah Cantt (Male) (P)",-,-,محلہ -2جی -3،جی,115010203,,536,0,536,0,0,0
"",,-,-,محلہ -3جی,115010204,,159,0,159,0,0,0
Total,,,,,,,695,0,695,1,0,1
5,"F.G Girls High School, No-1 AnwarChowk, Wah Cantt (Female) (P)",-,-,محلہ -1ایف -1،ڈی,115010201,,0,303,303,0,0,0
"",,-,-,محلہ -3ایف، ڈی ٹائپ,115010202,,0,542,542,0,0,0
Total,,,,,,,0,845,845,0,2,2
6,"F.G Girls High School, No-1 AnwarChowk, Wah Cantt (Female) (P)",-,-,محلہ -2جی -3،جی,115010203,,0,509,509,0,0,0
"",,-,-,محلہ -3جی,115010204,,0,158,158,0,0,0
Total,,,,,,,0,667,667,0,1,1
7,"F.G Girls High School No-12, Wah Cantt(Male) (P)",-,-,محلہ -4ایچ -4،جی,115010205,,539,0,539,0,0,0
"-",-,محلہ -7ایف,115010206,,204,0,204,0,0,0,,
"-",-,"انوار چوک، ایسٹپارک 4، ایف وی",115010207,,578,0,578,0,0,0,,
8,"F.G Girls High School No-12, Wah Cantt(Female) (P)",-,-,محلہ -4ایچ -4،جی,115010205,,0,468,468,0,0,0
"",,-,-,محلہ -7ایف,115010206,,0,195,195,0,0,0
"",,-,-,"انوار چوک، ایسٹپارک 4، ایف وی",115010207,,0,569,569,0,0,0
