ELECTION COMMISSION OF PAKISTAN,,,,,,,,,,,,
FORM-28,,,,,,,,,,,,
"[see rule 50]",,,,,,,,,,,,
LIST OF POLLING STATIONS OF NA-189-DGKHAN-I,,,,,,,,,,,,
Election to the National Assembly of the Punjab,,,,,,,,,,,,
NA-189-DGKHAN-I,,,,,,,,,,,,
"Sl.No.",No & name of polling station,In case of rural areas,In case of urban areas,"Serial No of voters on theElectoral Rolls in case ofbifercation of ElectoralArea","Number of Voters  assigned topolling station",Number of polling Booths.,,,,,,
"",,Name of electoral area,Census block code,Name of electoral area,"Census blockcode",Male,Female,Total,Male,Female,Total,
"",,"BASTI MALANA BlockNo.2/6",264030308,,,,330,247,577,,,,
"",,Total,,,,,716,514,1230,,,,
110,Boys Middle School Basti Malana (Mal,()Male),"BASTI MALANA BlockNo.3/6",264030303,,,,489,0,489,2,0,2
"",,"BASTI MALANA BlockNo.3/6",264030309,,,,422,0,422,,,,
"",,"BASTI MALANA BlockNo.3/6",264030310,,,,481,0,481,,,,
"",,Total,,,,,1392,0,1392,,,,
111,Boys Middle School Basti Malana (Fe,a(Flee)male),"BASTI MALANA BlockNo.3/6",264030303,,,,0,457,457,0,2,2
"",,"BASTI MALANA BlockNo.3/6",264030309,,,,0,271,271,,,,
"",,"BASTI MALANA BlockNo.3/6",264030310,,,,0,329,329,,,,
"",,Total,,,,,0,1057,1057,,,,
112,Boys Middle School Basti Malana (Co,b(Cinoemdb) ined),"BASTI MALANA BlockNo.4/6",264030304,,,,229,208,437,1,1,2
"",,"BASTI MALANA BlockNo.4/6",264030311,,,,218,125,343,,,,
"",,Total,,,,,447,333,780,,,,
113,Boys Primary School Hafiz Abad (Com,(iCneodm)bined),"BASTI MALANA BlockNo.5/6",264030305,,,,422,263,685,2,1,3
"BASTI MALANA BlockNo.5/6",264030312,,,,330,244,574,,,,,,
Total,,,,,752,507,1259,,,,,,
"BASTI MALANA BlockNo.6/6",264030306,,,,336,0,336,,,,,,
"BASTI MALANA BlockNo.6/6",264030313,,,,322,0,322,,,,,,
"BASTI MALANA BlockNo.6/6",264030314,,,,347,0,347,,,,,,
115,Boys Primary School Wajay Wala (Fe,a(Flee)male),"BASTI MALANA BlockNo.6/6",264030306,,,,0,259,259,0,2,2
"",,,"BASTI MALANA BlockNo.6/6",264030313,,,,0,279,279,,,
"",,,"BASTI MALANA BlockNo.6/6",264030314,,,,0,283,283,,,
"",,,Total,,,,,0,821,821,,,
116,Basic Health Centre Aarah Jaffar (Com,(iCnoemd)bined),AARAH JAFAR,264040101,,,,727,541,"1,268",1,1,2
"",,,Total,,,,,727,541,1268,,,
117,Boys Primary School Rakh Dhool No.,((Malle)),AARAH JAFAR,264040102,,,,599,0,599,2,0,2
"",,,Dhool,264040103,,,,"1,199",0,"1,199",,,
"",,,Total,,,,,1798,0,1798,,,
118,Boys Primary School Rakh Dhool No.,((Femalle)),AARAH JAFAR,264040102,,,,0,487,487,0,2,2
"",,,Dhool,264040103,,,,0,782,782,,,
"",,,Total,,,,,0,1269,1269,,,
119,Boys Middle School Shah Ali (Combin,d(C) ombined),GANMEN SANDEELA,264040704,,,,836,604,"1,440",2,2,4
"",,,Total,,,,,836,604,1440,,,
120,Boys Middle School Shah Ali (Combin,d(C) ombined),"BASTI SHAH ALIBlock No.1/3",264040701,,,,299,205,504,2,1,3
"",,,"BASTI SHAH ALIBlock No.2/3",264040702,,,,393,285,678,,,
"",,,Total,,,,,692,490,1182,,,
121,Boys Middle School Shah Ali (Combin,d(C) ombined),"BASTI SHAH ALIBlock No.3/3",264040703,,,,515,321,836,1,1,2
"",,,Total,,,,,515,321,836,,,
122,Boys Middle School Notak Mahmeed (,(aMlea)le),"NOTAK MAHMEEDBlock No.1/3",264040201,,,,700,0,700,2,0,2
"",,,"NOTAK MAHMEEDBlock No.1/3",264040204,,,,737,0,737,,,
"",,,Total,,,,,1437,0,1437,,,
123,Girls Middle School Notak Mahmeed (,e(Fmeamlea)le),"NOTAK MAHMEEDBlock No.1/3",264040201,,,,0,410,410,0,2,2
"NOTAK MAHMEEDBlock No.1/3",264040204,,,,0,500,500,,,,,,
Total,,,,,0,910,910,,,,,,
"NOTAK MAHMEEDBlock No.2/3",264040202,,,,593,416,"1,009",,,,,,
"NOTAK MAHMEEDBlock No.2/3",264040205,,,,458,351,809,,,,,,
"",Boys Middle School Notak Mahmeed (,(aMlea)le),"NOTAK MAHMEEDBlock No.3/3",264040203,,,,437,0,437,4,0,4
"",,,"NOTAK MAHMEEDBlock No.3/3",264040206,,,,465,0,465,,,
"",,,"NOTAK MAHMEEDBlock No.3/3",264040207,,,,457,0,457,,,
"",,,"NOTAK MAHMEEDBlock No.3/3",264040209,,,,441,0,441,,,
"",,,Total,,,,,1800,0,1800,,,
126,Girls Middle School Notak Mahmeed (,e(Fmeamlea)le),"NOTAK MAHMEEDBlock No.3/3",264040203,,,,0,350,350,0,4,4
"",,,"NOTAK MAHMEEDBlock No.3/3",264040206,,,,0,374,374,,,
"",,,"NOTAK MAHMEEDBlock No.3/3",264040207,,,,0,339,339,,,
"",,,"NOTAK MAHMEEDBlock No.3/3",264040209,,,,0,315,315,,,
"",,,Total,,,,,0,1378,1378,,,
127,Boys Primary School Basti Dosa (Com,(inCeodm)bined),BASTI DOSA,264040208,,,,427,388,815,1,1,2
"",,,Total,,,,,427,388,815,,,
128,Boys Primary School Hala (Male),(Male),HALA,264040301,,,,"1,243",0,"1,243",2,0,2
"",,,Total,,,,,1243,0,1243,,,
129,Boys Primary School Hala (Female),(Female),HALA,264040301,,,,0,890,890,0,2,2
"",,,Total,,,,,0,890,890,,,
130,Boys Primary School Yaray Wali (Male,(Male),YARAY WALI,264040303,,,,"1,060",0,"1,060",2,0,2
"",,,Total,,,,,1060,0,1060,,,
131,Boys Primary School Yaray Wali (Fem,l(eF)emale),YARAY WALI,264040303,,,,0,790,790,0,2,2
"",,,Total,,,,,0,790,790,,,
132,Boys Primary School Duba Dari (Comb,n(Ceodm)bined),DABBA DARI,264040302,,,,700,460,"1,160",2,1,3
"",,,Total,,,,,700,460,1160,,,
133,Boys High School Mana Ahmadabni (C,(Cmobminbeidn)ed),"MANA AHMADANISHARQIBlock No.1/12",264050101,,,,319,234,553,2,1,3
"MANA AHMADANISHARQIBlock No.3/12",264050103,,,,401,287,688,,,,,,
Total,,,,,720,521,1241,,,,,,
"",Boys High School Mana Ahmadabni (C,(Cmobminbeidn)ed),"MANA AHMADANISHARQIBlock No.4/12",264050104,,,,303,224,527,2,1,3
"",,,"MANA AHMADANISHARQIBlock No.4/12",264050113,,,,255,185,440,,,
"",,,Total,,,,,720,551,1271,,,
135,Boys High School Mana Ahmdani (Co,(bCinoemdb) ined),"MANA AHMADANISHARQI BlockNo.5/12",264050105,,,,332,248,580,1,1,2
"",,,"MANA AHMADANISHARQI BlockNo.5/12",264050114,,,,234,186,420,,,
"",,,Total,,,,,566,434,1000,,,
136,Boys High School Mana Ahmdani (Co,(bCinoemdb) ined),"MANA AHMADANISHARQI BlockNo.6/12",264050106,,,,442,357,799,2,1,3
"",,,"MANA AHMADANISHARQI BlockNo.6/12",264050115,,,,282,187,469,,,
"",,,Total,,,,,724,544,1268,,,
137,Girls High School Mana Ahmdani (Co,b(Cinoemd)bined),"MANA AHMADANISHARQI BlockNo.7/12",264050107,,,,421,337,758,1,1,2
"",,,"MANA AHMADANISHARQI BlockNo.7/12",264050116,,,,295,237,532,,,
"",,,Total,,,,,716,574,1290,,,
138,Girls High School Mana Ahmdani (Co,b(Cinoemd)bined),"MANA AHMADANISHARQI  BlockNo.8/12",264050108,,,,481,321,802,1,1,2
Total,,,,,481,321,802,,,,,,
"MANA AHMADANISHARQI BlockNo.9/12",264050109,,,,524,0,524,,,,,,
"MANA AHMADANISHARQI BlockNo.9/12",264050117,,,,455,0,455,,,,,,
140,Girls High School Mana Ahmdani (Fem,(Flee)male),"MANA AHMADANISHARQI BlockNo.9/12",264050109,,,,0,390,390,0,2,2
"",,,"MANA AHMADANISHARQI BlockNo.9/12",264050117,,,,0,387,387,,,
"",,,Total,,,,,0,777,777,,,
141,Boys Primary  School Mana Ahmdani,C(Coommbbinineedd) ),"MANA AHMADANISHARQI BlockNo.10/12",264050110,,,,463,430,893,1,1,2
"",,,Total,,,,,463,430,893,,,
142,Girls High School Mana Ahmdani  (Co,(bCinoemdb)ined),"MANA AHMADANISHARQI BlockNo.11/12",264050111,,,,337,290,627,1,1,2
"",,,"MANA AHMADANISHARQI BlockNo.12/12",264050112,,,,87,78,165,,,
"",,,Total,,,,,424,368,792,,,
143,Boys Middle School Kotla Ahmed Kha,( C(Coommbbinineedd)),"KOTLA AHMADKHAN Block No.1/5",264050301,,,,379,227,606,2,2,4
"",,,"KOTLA AHMADKHAN Block No.3/5",264050303,,,,442,313,755,,,
"",,,Total,,,,,821,540,1361,,,
144,Boys Middle School Kotla Ahmed Kha,( C(Coommbbinineedd)),"KOTLA AHMADKHAN Block No.2/5",264050302,,,,794,520,"1,314",2,1,3
"",,,Total,,,,,794,520,1314,,,
145,Boys Middle School Kotla Ahmed Kha,(Combiined),"KOTLA AHMADKHAN Block No.4/5",264050304,,,,309,229,538,1,1,2
"",,,"KOTLA AHMADKHAN Block No.5/5",264050305,,,,250,151,401,,,
"",,,Total,,,,,559,380,939,,,
146,Boys Primary School Basti Budhan (M,l(eM)ale),"MANA AHMADANIGHARBI",264050202,,,,"1,206",0,"1,206",2,0,2
"",,,Total,,,,,1206,0,1206,,,
147,Boys Primary School Basti Budhan (Fe,(Faelem)ale),"MANA AHMADANIGHARBI",264050202,,,,0,808,808,0,2,2
Total,,,,,0,808,808,,,,,,
"NOOR WAHISEEDHRAN",264050201,,,,586,410,996,,,,,,
149,Boys Primary School Noor Wahi Sidhr,n(C (Comombibniende)d),CHAK MASOO KHAN,264050203,,,,385,251,636,1,1,2
"",,,Total,,,,,385,251,636,,,
150,Union Council office Basti Fouja (Com,i(nCeodm) bined),"BASTI FOJA BlockNo.1/5",264050401,,,,454,324,778,2,2,4
"",,,"BASTI FOJA BlockNo.2/5",264050402,,,,369,302,671,,,
"",,,"BASTI FOJA BlockNo.3/5",264050403,,,,343,237,580,,,
"",,,Total,,,,,1166,863,2029,,,
151,Boys Middle School Basti Fouja (Comb,n(Ceodm) bined),"BASTI FOJA BlockNo.4/5",264050404,,,,534,280,814,2,2,4
"",,,"BASTI FOJA BlockNo.4/5",264050406,,,,488,424,912,,,
"",,,Total,,,,,1022,704,1726,,,
152,Boys Middle School Basti Fouja (Comb,n(Ceodm)bined),"BASTI FOJA BlockNo.5/5",264050405,,,,523,421,944,1,1,2
"",,,"BASTI FOJA BlockNo.5/5",264050407,,,,443,298,741,,,
"",,,Total,,,,,966,719,1685,,,
153,Boys Primary  School Kot Jannu (Com,(inCeodm) bined),"KHAN PUR SHUMALIBlock No.3/4",264050410,,,,312,213,525,2,1,3
"KHAN PUR SHUMALIBlock No.3/4",264050416,,,,294,210,504,,,,,,
"KHAN PUR SHUMALIBlock No.3/4",264050417,,,,244,145,389,,,,,,
Total,,,,,850,568,1418,,,,,,
"KHAN PUR SHUMALIBlock No.3/4",264050418,,,,190,144,334,,,,,,
"KHAN PUR SHUMALIBlock No. 4/4",264050411,,,,242,188,430,,,,,,
"KHAN PUR SHUMALIBlock No. 4/4",264050419,,,,202,199,401,,,,,,
"",Girls Primary School Jatoi Wala (Comb,n(Ceodm)bined),"KHAN PUR SHUMALIBlock No.1/4",264050408,,,,431,337,768,2,2,4
"",,,"KHAN PUR SHUMALIBlock No.1/4",264050412,,,,409,273,682,,,
"",,,"KHAN PUR SHUMALIBlock No.1/4",264050413,,,,0,0,0,,,
"",,,"KHAN PUR SHUMALIBlock No.1/4",264050414,,,,14,5,19,,,
"",,,Total,,,,,854,615,1469,,,
156,Boys Primary  School Chatay Wala (C,m(Cboinmebdi)ned),"KHAN PUR SHUMALIBlock No.2/4",264050409,,,,261,198,459,1,1,2
"",,,"KHAN PUR SHUMALIBlock No.2/4",264050415,,,,202,109,311,,,
"",,,Total,,,,,463,307,770,,,
157,Boys High School KhanpurJanubi (Mal,()Male),"KHAN PUR JANUBIBlock No.1/5",264050501,,,,729,0,729,4,0,4
"",,,"KHAN PUR JANUBIBlock No.1/5",264050506,,,,555,0,555,,,
"",,,"KHAN PUR JANUBIBlock No.1/5",264050507,,,,484,0,484,,,
"",,,Total,,,,,1768,0,1768,,,
158,Boys High School Khanpur Janubi  (Fe,(Faelem) ale),"KHAN PUR JANUBIBlock No.1/5",264050501,,,,0,654,654,0,2,2
"",,,"KHAN PUR JANUBIBlock No.1/5",264050506,,,,0,167,167,,,
"",,,"KHAN PUR JANUBIBlock No.1/5",264050507,,,,0,358,358,,,
"",,,Total,,,,,0,1179,1179,,,
159,Boys High School Khanpur Janubi (Ma,e(M)ale),"KHAN PUR JANUBIBlock No.2/5",264050502,,,,"1,005",0,"1,005",4,0,4
"KHAN PUR JANUBIBlock No.2/5",264050508,,,,706,0,706,,,,,,
Total,,,,,1711,0,1711,,,,,,
"",Boys Middle School Mulla Wala (Fema,e(F) emale),"KHAN PUR JANUBIBlock No.2/5",264050508,,,,0,567,567,0,2,2
"",,,Total,,,,,0,617,1184,,,
161,Boys Middle School Mulla Wala (Comb,n(Ceodm)bined),"KHAN PUR JANUBIBlock No.3/5",264050503,,,,807,621,"1,428",2,1,3
"",,,Total,,,,,807,621,1428,,,
"",,,"KHAN PUR JANUBIBlock No.3/5",264050509,,,,616,549,"1,165",1,1,2
"",,,Total,,,,,616,549,1165,,,
162,Boys Middle School Mulla Wala (Comb,n(Ceodm)bined),"KHAN PUR JANUBIBlock No.4/5",264050504,,,,511,413,924,2,1,3
"",,,"KHAN PUR JANUBIBlock No.4/5",264050510,,,,472,319,791,,,
"",,,Total,,,,,983,732,1715,,,
163,Boys Middle School Farooq Abad (Co,(bCinoemdb) ined),"KHAN PUR JANUBIBlock No.5/5",264050505,,,,702,563,"1,265",2,1,3
"",,,Total,,,,,702,563,1265,,,
164,Boys Middle School Farooq Abad (Co,(bCinoemdb) ined),"KHAN PUR JANUBIBlock No.5/5",264050511,,,,750,612,"1,362",2,1,3
"",,,Total,,,,,750,612,1362,,,
165,Boys Primary School Zhurani Wala (C,m(Cboinmebdi)ned),"DARKHAST JAMALKHANJANUBI No.1 BlockNo.1/3",264060401,,,,566,479,"1,045",2,2,4
"",,,"DARKHAST JAMALKHANJANUBI No.1 BlockNo.1/3",264060404,,,,523,369,892,,,
"",,,Total,,,,,1089,848,1937,,,
166,Boys Primary School Mir Nagar Abdull,h(C (oCmombinbeinde)d),"DARKHAST JAMALKHANJANUBI No.1 BlockNo.2/3",264060402,,,,583,514,"1,097",1,1,2
Total,,,,,583,514,1097,,,,,,
"DARKHAST JAMALKHANJANUBI No.1 BlockNo.3/3",264060403,,,,570,416,986,,,,,,
168,Rural Health Centre Qadir Abad  (Com,(iCneodm)bined),"DARKHAST JAMALKHANJANUBI No.2  BlockNo.1/4",264060301,,,,648,469,"1,117",2,2,4
"",,,"DARKHAST JAMALKHANJANUBI No.2 BlockNo.2/4",264060302,,,,401,264,665,,,
"",,,Total,,,,,1049,733,1782,,,
169,Rural Health CentreQadir Abad  (Com,i(nCeodm) bined),"DARKHAST JAMALKHANJANUBI No.2 BlockNo.3/4",264060303,,,,215,153,368,1,1,2
"",,,"DARKHAST JAMALKHANJANUBI No.2 BlockNo.4/4",264060304,,,,400,261,661,,,
"",,,Total,,,,,615,414,1029,,,
170,Boys High School Mian Pheroo (Combi,(eCdo)mbined),"DARKHAST JAMALKHAN .GHARBI NO.1Block No.1/4",264060601,,,,663,453,"1,116",2,1,3
"",,,Total,,,,,663,453,1116,,,
171,Boys High School Mian Pheroo (Combi,(Cedo)mbined),"DARKHAST JAMALKHAN .GHARBI NO.1Block No.2/4",264060602,,,,292,179,471,2,2,4
"DARKHAST JAMALKHAN .GHARBI NO.1Block No.3/4",264060603,,,,594,447,"1,041",,,,,,
Total,,,,,886,626,1512,,,,,,
"DARKHAST JAMALKHAN .GHARBI NO.1Block No.4/4",264060604,,,,462,284,746,,,,,,
"DARKHAST JAMALKHAN .GHARBI NO.1Block No.4/4",264060605,,,,398,292,690,,,,,,
"DARKHAST JAMALKHAN .GHARBI NO.1Block No.4/4",264060606,,,,419,290,709,,,,,,
173,"Boys Middle School Bitta Ghulam AliKhan Ahmadani (Combined)",(Combined),"DARKHAST JAMALKHANGHARBI NO.2 BlockNo.1/6",264060501,,,,337,226,563,2,2,4
"",,,"DARKHAST JAMALKHANGHARBI NO.2 BlockNo.2/6",264060502,,,,406,290,696,,,
"",,,"DARKHAST JAMALKHANGHARBI NO.2 BlockNo.3/6",264060503,,,,325,242,567,,,
"",,,Total,,,,,1068,758,1826,,,
174,"Middle School Bitta Ghulam Ali KhanAhmadani (Combined)",(Combined),"DARKHAST JAMALKHANGHARBI NO.2 BlockNo.4/6",264060504,,,,284,193,477,2,2,4
"",,,"DARKHAST JAMALKHANGHARBI NO.2 BlockNo.5/6",264060505,,,,498,419,917,,,
"",,,"DARKHAST JAMALKHANGHARBI NO.2 BlockNo.6/6",264060506,,,,265,225,490,,,
"",,,Total,,,,,1047,837,1884,,,
175,Basic Health Unit Mian Phero (Combin,(dC)ombined),"DARKHAST JAMALKHAN DARMIANIBlock No.1/7",264060801,,,,417,300,717,2,1,3
"DARKHAST JAMALKHAN DARMIANIBlock No.1/7",264060808,,,,283,215,498,,,,,,
Total,,,,,700,515,1215,,,,,,
"DARKHAST JAMALKHAN DARMIANIBlock No.2/7",264060802,,,,578,393,971,,,,,,
"DARKHAST JAMALKHAN DARMIANIBlock No.2/7",264060809,,,,449,298,747,,,,,,
"",Boys Primary School Hassay Wala (Co,(Cboinmebdi)ned),"DARKHAST JAMALKHAN DARMIANIBlock No.3/7",264060803,,,,530,302,832,2,1,3
"",,,"DARKHAST JAMALKHAN DARMIANIBlock No.4/7",264060804,,,,641,453,"1,094",,,
"",,,Total,,,,,1171,755,1926,,,
178,Boys Primary School Hassay Wala (Co,(Cboinmebdi)ned),"DARKHAST JAMALKHAN DARMIANIBlock No.5/7",264060805,,,,387,240,627,1,1,2
"",,,"DARKHAST JAMALKHAN DARMIANIBlock No.5/7",264060810,,,,418,256,674,,,
"",,,Total,,,,,387,240,627,,,
179,Boys Primary School Chaker Wala No.,1(C (Comombibniende)d),"DARKHAST JAMALKHAN DARMIANIBlock No.6/7",264060806,,,,499,327,826,2,2,4
"",,,"DARKHAST JAMALKHAN DARMIANIBlock No.6/7",264060811,,,,403,287,690,,,
"",,,"DARKHAST JAMALKHAN DARMIANIBlock No.6/7",264060812,,,,428,327,755,,,
"",,,Total,,,,,1330,941,2271,,,
180,Boys Primary School  Bijjar Ahmadani,C(Coommbbinineedd) ),"DARKHAST JAMALKHAN DARMIANIBlock No.7/7",264060807,,,,583,457,"1,040",1,1,2
"",,,Total,,,,,583,457,1040,,,
181,Boys Middle School Bakhar Wah (Com,(iCnoemd)bined),"BAKHAR WAHSHARQI Block No.1/6",264060101,,,,355,244,599,2,2,4
"BAKHAR WAHSHARQI Block No.1/6",264060107,,,,336,230,566,,,,,,
"BAKHAR WAHSHARQI Block No.2/6",264060102,,,,367,270,637,,,,,,
Total,,,,,1058,744,1802,,,,,,
"",Boys Primary School Meway Wala (Co,(Cbionmedb)ined),"BAKHAR WAHSHARQI Block No.3/6",264060108,,,,530,376,906,2,2,4
"",,,Total,,,,,1103,790,1893,,,
183,"Boys Primary  School Mir MuhammadKachella (Combined)",(Combined),"BAKHAR WAHSHARQI Block No.4/6",264060104,,,,361,195,556,2,1,3
"",,,"BAKHAR WAHSHARQI Block No.5/6",264060105,,,,229,163,392,,,
"",,,"BAKHAR WAHSHARQI Block No.6/6",264060106,,,,127,85,212,,,
"",,,Total,,,,,717,443,1160,,,
184,Boys Primary  School Aslam  Abad (Co,(Cboinmebdi)ned),"BAKHAR WAHGHARBI Block No.1/3",264060201,,,,272,158,430,2,1,3
"",,,"BAKHAR WAHGHARBI Block No.1/3",264060204,,,,219,150,369,,,
"",,,"BAKHAR WAHGHARBI Block No.1/3",264060205,,,,175,93,268,,,
"",,,Total,,,,,666,401,1067,,,
185,Boys Primary  School Khan Kalari (Co,(bCinoemdb)ined),"BAKHAR WAHGHARBI Block No.2/3",264060202,,,,378,276,654,2,2,4
"BAKHAR WAHGHARBI Block No.3/3",264060203,,,,288,251,539,,,,,,
"BAKHAR WAHGHARBI Block No.3/3",264060206,,,,215,125,340,,,,,,
Total,,,,,881,652,1533,,,,,,
"DARKHAST JAMALKHAN SHUMALINo.1 Block No.1/4",264060701,,,,344,213,557,,,,,,
"",,,"DARKHAST JAMALKHAN SHUMALINo.1 Block No.1/4",264060706,,,,297,249,546,,,
"",,,Total,,,,,954,669,1623,,,
187,Boys Primary  School Vainse Wala (Co,(Cboinmebdi)ned),"DARKHAST JAMALKHAN SHUMALINo.1 Block No.2/4",264060702,,,,562,365,927,1,1,2
"",,,Total,,,,,562,365,927,,,
188,Boys Primary  School Khan Wala (Co,bined)(Combined),"DARKHAST JAMALKHANSHUMALI  No.1 BlockNo.3/4",264060703,,,,405,294,699,2,2,4
"",,,"DARKHAST JAMALKHANSHUMALI  No.1 BlockNo.3/4",264060707,,,,356,265,621,,,
"",,,"DARKHAST JAMALKHANSHUMALI  No.1 BlockNo.4/4",264060704,,,,382,177,559,,,
"",,,"DARKHAST JAMALKHANSHUMALI  No.1 BlockNo.4/4",264060708,,,,341,147,488,,,
"",,,Total,,,,,723,324,1047,,,
189,Girls High School Choti Zareen (Combi,(eCdo)mbined),CHAK BUZDAR,264070202,,,,439,271,710,1,1,2
"",,,Total,,,,,439,271,710,,,
190,Boys High School Choti Zareen  (Com,i(nCeodm) bined),CHAK BUZDAR,264070203,,,,350,192,542,1,1,2
"",,,Total,,,,,350,192,542,,,
191,Boys High School Choti Zareen (Comb,n(Cedo)mbined),"CHAK BAKHAR BlockNo.3/5",264070204,,,,772,627,"1,399",2,1,3
"",,,Total,,,,,772,627,1399,,,
192,Veternary Hospital Choti Zareen (Com,(inCeodm) bined),"CHAK BAKHAR BlockNo.4/5",264070205,,,,507,427,934,2,2,4
"CHAK BAKHAR BlockNo.4/5",264070207,,,,464,309,773,,,,,,
Total,,,,,971,736,1707,,,,,,
"CHAK BAKHAR BlockNo.5/5",264070206,,,,851,664,"1,515",,,,,,
"",,,Total,,,,,1262,949,2211,,,
194,Girls High School Choti Zareen (Combi,(eCdo)mbined),"CHAK BAKHAR BlockNo.5/5",264070209,,,,407,256,663,2,2,4
"",,,"CHAK BAKHAR BlockNo.5/5",264070210,,,,414,250,664,,,
"",,,"CHAK BAKHAR BlockNo.5/5",264070211,,,,420,299,719,,,
"",,,Total,,,,,1241,805,2046,,,
195,"Boys Primary  School Chak Jalohar atBasti Tagia Khan Ramdiani(Combined)",(Combined),"CHAK JALOHERBlock No.1/6",264070401,,,,342,265,607,1,1,2
"",,,"CHAK JALOHERBlock No.2/6",264070402,,,,108,62,170,,,
"",,,Total,,,,,450,327,777,,,
196,"Boys Primary  School Chak Jalohar atBasti Tagia Khan Ramdiani(Combined)",(Combined),CHAK BUZDAR,264070201,,,,409,224,633,2,1,3
"",,,"CHAK JALOHERBlock No.3/6",264070403,,,,503,350,853,,,
"",,,Total,,,,,912,574,1486,,,
197,Girls Primary School Sumra Gabool  (,o(Cmobminbeidn)ed),"CHAK JALOHERBlock No.4/6",264070404,,,,284,209,493,1,1,2
"",,,Total,,,,,284,209,493,,,
198,Chak Qaima Basti Sher Muahmmad B,z(Cdaorm (bCinoemdb)ined),"CHAK JALOHERBlock No.5/6",264070405,,,,260,173,433,2,1,3
"",,,"CHAK JALOHERBlock No.6/6",264070406,,,,239,212,451,,,
"",,,CHAK CHANDIA,264070407,,,,73,35,108,,,
"",,,TALPUR,264070408,,,,143,85,228,,,
"",,,CHAK QAIMA,264070409,,,,221,110,331,,,
"",,,Total,,,,,936,615,1551,,,
199,"Boys Primary  School Basti HussainKhan Manay Wala (Combined)",(Combined),"THATHA GABOLANBlock No.1/5",264070801,,,,876,590,"1,466",2,1,3
"",,,Total,,,,,876,590,1466,,,
200,Girls Primary School Thatha Gaboolan,((Combiined)),"THATHA GABOLANBlock No.2/5",264070802,,,,572,440,"1,012",1,1,2
"THATHA GABOLANBlock No.3/5",264070803,,,,373,217,590,,,,,,
Total,,,,,945,657,1602,,,,,,
"THATHA GABOLANBlock No.3/5",264070806,,,,367,326,693,,,,,,
"",,,"THATHA GABOLANBlock No.3/5",264070808,,,,297,305,602,,,
"",,,Total,,,,,1022,892,1914,,,
202,Boys Primary School Oudh Wala (Com,(iCnoemd)bined),"THATHA GABOLANBlock No.5/5",264070805,,,,497,401,898,2,1,3
"",,,"THATHA GABOLANBlock No.5/5",264070810,,,,528,378,906,,,
"",,,Total,,,,,1025,779,1804,,,
203,Boys Middle School Thatha Gabolan (,(oCmobminbeinde)d),"THATHA GABOLANBlock No.4/5",264070804,,,,308,209,517,2,1,3
"",,,"THATHA GABOLANBlock No.4/5",264070809,,,,313,248,561,,,
"",,,Total,,,,,621,457,1078,,,
204,Markaz Complex Choti Zareen (Combi,(eCdo)mbined),"CHAHEL CHAHANBlock No.1/7",264070501,,,,497,334,831,2,1,3
"",,,"CHAHEL CHAHANBlock No.2/7",264070502,,,,218,180,398,,,
"",,,Total,,,,,715,514,1229,,,
205,Girls Primary School Basti Birmani (Co,(Cbionmedb)ined),"CHAHEL CHAHANBlock No.3/7",264070503,,,,406,316,722,1,1,2
"",,,"CHAHEL CHAHANBlock No.3/7",264070508,,,,342,298,640,,,
"",,,Total,,,,,748,614,1362,,,
206,"Boys Primary  School Moochi Wala(M/S Mohammad Ali Ramdani)(Combined)",(Combined),"CHAHEL CHAHANBlock No.4/7",264070504,,,,456,396,852,2,2,4
"CHAHEL CHAHANBlock No.5/7",264070505,,,,118,110,228,,,,,,
"CHAHEL CHAHANBlock No.6/7",264070506,,,,212,147,359,,,,,,
"CHAHEL CHAHANBlock No.7/7",264070507,,,,347,300,647,,,,,,
Total,,,,,1133,953,2086,,,,,,
"MUTFARIQ CHAHANBlock No.1/14",264070101,,,,565,0,565,,,,,,
"MUTFARIQ CHAHANBlock No.2/14",264070102,,,,403,0,403,,,,,,
"",,,Total,,,,,1411,0,1411,,,
208,Govt Girls College Choti Zareen (Fema,e(F)emale),"MUTFARIQ CHAHANBlock No.1/14",264070101,,,,0,384,384,2,2,4
"",,,"MUTFARIQ CHAHANBlock No.2/14",264070102,,,,0,348,348,,,
"",,,"MUTFARIQ CHAHANBlock No.2/14",264070115,,,,0,246,246,,,
"",,,Total,,,,,0,978,978,,,
209,Govt Girls College Choti Zareen (Com,i(nCeodm)bined),"MUTFARIQ CHAHANBlock No.3/14",264070103,,,,561,426,987,2,2,4
"",,,"MUTFARIQ CHAHANBlock No.4/14",264070104,,,,569,426,995,,,
"",,,Total,,,,,1130,852,1982,,,
210,Govt Girls College Choti Zareen (Com,i(nCeodm) bined),"MUTFARIQ CHAHANBlock No.5/14",264070105,,,,337,290,627,2,2,4
"",,,"MUTFARIQ CHAHANBlock No.6/14",264070106,,,,355,355,710,,,
"",,,"MUTFARIQ CHAHANBlock No.6/14",264070116,,,,392,224,616,,,
"",,,Total,,,,,1084,869,1953,,,
211,Girls Primary School Basti Naurang Sh,(hC (oCmobminbeinde)d),"MUTFARIQ CHAHANBlock No.7/14",264070107,,,,230,180,410,2,1,3
"MUTFARIQ CHAHANBlock No.8/14",264070108,,,,422,302,724,,,,,,
Total,,,,,652,482,1134,,,,,,
"MUTFARIQ CHAHANBlock No.9/14",264070109,,,,385,308,693,,,,,,
"",,,Total,,,,,841,668,1509,,,
