""
No. and name of constituency      NA-77-NWL-I,,,,,,,,,,,,
Sr. No,"No. and name ofpolling station.",In case of rural areas,In case of urban areas,"S.No. ofvoters ontheelectoral",Number of voters assigned to,Number of polling booths.,,,,,,
"",,"Name ofElectoralArea","Censusblockcode",Name of Electoral Area,"Censusblockcode",Male.,Female.,Total.,Male.,Female.,Total.,
1,2,3,4,5,6,7,8,9,10,11,12,13
"",,,,,,,,,,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,1504,,1504,3,,3
275,"275-Govt. Boys Higher SecondarySchool Maingri(Female)",Noor Kot,184050602,,,,,810,810,,,
"",,Noor Kot,184050603,,,,,507,507,,,
"",,,Total:-,,,,,1317,1317,,3,3
276,"276-Boys Higher Secondry SchoolMaingri(Male)P)",Maingri,184050608,,,,746,,746,,,
"",,Maingri,184050610,,,,374,,374,,,
"",,Maingri,184050609,,,,500,,500,,,
"",,,Total:-,,,,1620,,1620,4,,4
277,277-Girls H/S Maingri(Female)P),Maingri,184050608,,,,,714,714,,,
"",,Maingri,184050610,,,,,312,312,,,
"",,Maingri,184050609,,,,,446,446,,,
"",,,Total:-,,,,,1472,1472,,3,3
278,278-Girls P/S Dial Pur (Combined)(P),Dial Pur,184050607,,,,376,280,656,,,
"",,"BhagwanPur",184051504,,,,193,131,324,,,
"",,,Total:-,,,,569,411,980,1,1,2
279,"279-Boys P/S Bara Manga(Combined)(P)","BaramangaBlock.1",184050701,,,,762,511,1273,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,762,511,1273,2,1,3
280,"280-Boys H/S Bara Manga Block No.2(Combined)(P)","BaramangaBlock.2",184050702,,,,523,347,870,,,
"",,"BaramangaBlock.3",184050703,,,,359,192,551,,,
"",,,Total:-,,,,882,539,1421,2,1,3
281,"281-Girls H/S Baramanga(Combined)(P)","BaramangaBlock.4",184050704,,,,649,374,1023,,,
"",,"Baramanga Block5",184050705,,,,165,90,255,,,
"",,"6-Baramanga Block6",184050706,,,,249,158,407,,,
"",,,Total:-,,,,1063,622,1685,2,1,3
282,"282-Girls P/S Chak Bahauddin (YousafPur) (Combined)(P)","SunderPur",184050801,,,,100,53,153,,,
"",,"YousafPur ChakBahauddin.",184050811,,,,454,351,805,,,
"",,"PanvanJoni Pur",184050812,,,,332,247,579,,,
"",,,Total:-,,,,886,651,1537,2,2,4
"",,"HussainPur",184050808,,,,165,124,289,,,
"",,"3.SabirPur",184050803,,,,214,158,372,,,
"",,,Total:-,,,,701,517,1218,2,1,3
284,284-Boys H/S Bhajna (Combined)(P),Nangle,184050804,,,,353,236,589,,,
"",,Saleh Pur,184050805,,,,131,113,244,,,
"",,Bhajna,184050806,,,,297,261,558,,,
"",,Baberian,184050807,,,,256,194,450,,,
"",,,Total:-,,,,1037,804,1841,2,2,4
285,"285-Govt. P/S Dalley Nangal(Combined) (P)","DalleyNangal",184050901,,,,425,295,720,,,
"",,"PannwanKhokhar",184050902,,,,100,53,153,,,
"",,Khosa,184050903,,,,108,97,205,,,
"",,,Total,,,,633,445,1078,1,1,2
286,286-Govt. E/S Kot Bhajjna (Male) (P),"ChakKotlaKahlwan",184051001,,,,361,,361,,,
"",,"KotBhajjna",184051002,,,,358,,358,,,
"",,"ChakKotli RamDas",184051003,,,,17,,17,,,
"",,Talwarha,184051004,,,,243,,243,,,
"",,"ChajwalJattan",184051005,,,,206,,206,,,
"",,"KotlaKahlwan",184051006,,,,67,,67,,,
"",,,Total,,,,1252,,1252,3,,3
287,287-Govt. E/S Kot Bhajjna (Female) (P),"ChakKotlaKahlwan",184051001,,,,,245,245,,,
"",,"KotBhajjna",184051002,,,,,269,269,,,
"",,"ChakKotli RamDas",184051003,,,,,11,11,,,
"",,Talwarha,184051004,,,,,166,166,,,
"",,"ChajwalJattan",184051005,,,,,151,151,,,
"",,,Total,,,,,881,881,,2,2
288,"288-Boys P/S Chak Qazian(Combined)(P)",Sethiali,184051101,,,,281,232,513,,,
"",,"ChakQazian",184051103,,,,430,365,795,,,
"",,"ChakQazian",184051104,,,,165,145,310,,,
"",,,Total:-,,,,876,742,1618,2,2,4
289,289-Girls M/S Rangra. (Combined)(P),Rangra.,184051102,,,,547,432,979,,,
"",,"ChanniDulo",184051107,,,,236,172,408,,,
"",,,Total:-,,,,783,604,1387,2,1,3
290,"290-Govt. Girls P/S Kotli Jattan(Combined)",Dadi Pur,184050605,,,,395,272,667,,,
"",,"KotliJattan",184050606,,,,450,334,784,,,
"",,,Total:-,,,,845,606,1451,2,1,3
291,291-Girls P/S Achli. (Combined)(P),"KotAsalat",184051105,,,,234,159,393,,,
"",,Achli,184051106,,,,279,231,510,,,
"",,,Total:-,,,,513,390,903,1,1,2
292,292-Girls P/S Khan Pur (Combined)(P),"KhanPur(Guj)",184051108,,,,782,588,1370,,,
"",,Bijli Pur,184070103,,,,249,151,400,,,
"",,,Total:-,,,,1031,739,1770,2,2,4
293,"293-G P/S Fatowal Gujran(Combined)(P)","FatowalGujran",184051206,,,,302,232,534,,,
"",,"BairaGujran",184051205,,,,248,159,407,,,
"",,Nanowal,184051201,,,,183,113,296,,,
"",,"MamkaGujran",184051202,,,,117,84,201,,,
"",,,Total:-,,,,850,588,1438,2,1,3
294,"294-Govt. Girlss E/S Babra GujranGujran  (Combined)(P)","BabraGujrana",184051203,,,,492,363,855,,,
"",,Chawrian,184051204,,,,109,82,191,,,
"",,Meripur,184051207,,,,76,66,142,,,
"",,,Total:-,,,,677,511,1188,1,1,2
295,"295-Boys M/S Bhekochak(Combined)(P)","Bhekochak",184051301,,,,586,432,1018,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,586,432,1018,1,1,2
296,296-Boys P/S Noshera (Combined)(P),Noshera,184051302,,,,181,114,295,,,
"",,Nougaza,184051303,,,,387,230,617,,,
"",,,Total:-,,,,568,344,912,1,1,2
297,"297-Boys E/S FathepurAfghanan(Male)P)","Fathepur(A)",184051401,,,,501,,501,,,
"",,"Fathepur(A)",184051402,,,,500,,500,,,
"",,"Fathepur(A)",184051403,,,,230,,230,,,
"",,Odra,184051404,,,,543,,543,,,
"",,Saula,184051405,,,,229,,229,,,
"",,"Sakrangian",184051406,,,,471,,471,,,
"",,"ChakKotli B.C",184051407,,,,0,,0,,,
"",,,Total:-,,,,2474,,2474,4,,4
298,298-Girls M/S Fatehpur(A) (Female)P),"Fathepur(A)",184051401,,,,,364,364,,,
"",,"Fathepur(A)",184051402,,,,,469,469,,,
"",,"Fathepur(A)",184051403,,,,,175,175,,,
"",,Odra,184051404,,,,,354,354,,,
"",,Saula,184051405,,,,,165,165,,,
"",,"Sakrangian",184051406,,,,,322,322,,,
"",,"ChakKotli B.C",184051407,,,,,0,0,,,
"",,,Total:-,,,,,1849,1849,,3,3
299,"299-Boys M/S Pindi Kalan(Combined)(P)","PindiKhurd",184051501,,,,230,120,350,,,
"",,"PindiKalan",184051502,,,,623,504,1127,,,
"",,Chakra,184051503,,,,220,155,375,,,
"",,,Total:-,,,,1073,779,1852,2,2,4
300,"300-Govt. Boys P/S Ghool (Combined)(P)",Ghool,184060101,,,,531,387,918,,,
"",,"BlakiChak",184060102,,,,78,48,126,,,
"",,"BajoChackB.c",184060103,,,,0,0,0,,,
"",,"MiadiMutto B.c",184060104,,,,66,49,115,,,
"",,Jurur B.c,184060105,,,,0,0,0,,,
"",,Muddoke,184060501,,,,82,28,110,,,
"",,"ShahKhokharB.c",184060503,,,,0,0,0,,,
"",,"GujarToorB.c",184060601,,,,0,0,0,,,
"",,"PairraB.c",184060602,,,,0,0,0,,,
"",,"Sajin PurB.c",184060603,,,,0,0,0,,,
"",,"AuddahB.c",184061501,,,,0,0,0,,,
"",,Ollia   B.c,184061502,,,,0,0,0,,,
"",,"BhopaB.c",184061503,,,,0,0,0,,,
"",,,Total,,,,757,512,1269,2,1,3
301,"301-Govt. Girls P/S Raniwal(Combined) (P)",Warraich,184060201,,,,138,72,210,,,
"",,panwan,184060202,,,,91,81,172,,,
"",,Malowal,184060204,,,,189,169,358,,,
"",,Lakara,184060205,,,,179,128,307,,,
"",,Raniwal,184060207,,,,489,376,865,,,
"",,,Total,,,,1086,826,1912,2,2,4
302,"302-Govt. Girls P/S Gungran(Combined) (P)","ChackKhalil",184060203,,,,217,171,388,,,
"",,Gungran,184060206,,,,377,284,661,,,
"",,,Total,,,,594,455,1049,1,1,2
303,"303-Govt. Boys E/S Doudda(Combined) (P)","KotBhuttaB.C",184060301,,,,0,0,0,,,
"",,"ManjaykeB.C",184060302,,,,0,0,0,,,
"",,"BurajTiekoB.C",184060303,,,,0,0,0,,,
"",,"KhasaWalaB.C",184060304,,,,0,0,0,,,
"",,"JaulloNingalB.C",184060305,,,,0,0,0,,,
"",,"Pikho keB.C",184060306,,,,0,0,0,,,
"",,"QillaAmirB.C",184060308,,,,0,0,0,,,
"",,"MiadiShairaB.C",184060309,,,,0,0,0,,,
"",,"ChabB.C",184061601,,,,0,0,0,,,
"",,"Nasir DinB.C",184061602,,,,0,0,0,,,
"",,"AulokeB.C",184061603,,,,0,0,0,,,
"",,Rura B.C,184061604,,,,0,0,0,,,
"",,"RinsinkeB.C",184061605,,,,0,0,0,,,
"",,"BallaToor B.C",184061606,,,,0,0,0,,,
"",,"Mardanna  B.C",184061607,,,,0,0,0,,,
"",,"ChakManak",184061701,,,,112,75,187,,,
"",,Nanigli,184061702,,,,87,58,145,,,
"",,"Doudda -1",184061703,,,,180,93,273,,,
"",,"Doudda -2",184061704,,,,369,224,593,,,
"",,"Doudda -3",184061705,,,,423,282,705,,,
"",,,Total,,,,1171,732,1903,2,2,4
304,"304-Govt. Girls H/S Bustan Afghanan(Male) (P)","MalikAfghanan",184060401,,,,275,,275,,,
"",,Tattarpur,184060402,,,,176,,176,,,
"",,"BustanAfghanan",184060403,,,,512,,512,,,
"",,"Mustafapur",184060404,,,,89,,89,,,
"",,"Kattroowal",184060405,,,,119,,119,,,
305,"305-Govt. Girls H/S Bustan Afghanan(Female) (P)",,Total,,,,1171,,1171,2,,2
"",,"MalikAfghanan",184060401,,,,,185,185,,,
"",,"BustanAfghanan",184060403,,,,,396,396,,,
"",,"Mustafapur",184060404,,,,,78,78,,,
"",,"Kattroowal",184060405,,,,,109,109,,,
"",,,Total,,,,,895,895,,2,2
306,306-Govt. H/S Gorala (Combined) (P),"Mehmoon",184060701,,,,153,117,270,,,
"",,Jura,184060702,,,,130,88,218,,,
"",,"DumanaWali(BC)",184060703,,,,0,0,0,,,
"",,"ChakShehzad",184060704,,,,8,4,12,,,
"",,Duraey,184060705,,,,102,73,175,,,
"",,Gorala,184060706,,,,444,403,847,,,
"",,"MalaGrah pur",184060707,,,,179,111,290,,,
"",,"MalaGrah pur",184060708,,,,136,57,193,,,
"",,,Total,,,,1152,853,2005,2,2,4
307,"307-Govt. Boys E/S Jattar (Combined)(P)",Jattar,184060801,,,,382,252,634,,,
"",,Jattar,184060802,,,,400,250,650,,,
"",,"Chanogwali",184060803,,,,329,225,554,,,
"",,,Total,,,,1111,727,1838,2,2,4
308,"308-Govt. Boys E/S Fateh pur Dittah.(Combined) (P)","Bheelowali",184060805,,,,369,253,622,,,
"",,Lahl,184060806,,,,162,104,266,,,
"",,"Fateh purDittan",184060807,,,,487,342,829,,,
"",,,Total,,,,1018,699,1717,2,2,4
309,309-Govt. P/S Cheena  (Combined) (P),Cheena,184060804,,,,104,63,167,,,
"",,Naggal,184060808,,,,249,174,423,,,
"",,Laloo Kot,184060809,,,,309,199,508,,,
"",,"PearaB.C",184061008,,,,113,90,203,,,
"",,Eesarwali,184061010,,,,125,62,187,,,
"",,,Total,,,,900,588,1488,2,1,3
"",,"MundiKhal",184060902,,,,290,,290,,,
"",,"kotlaAfghnan",184060904,,,,354,,354,,,
"",,"DaraAfghanaNo.1",184060905,,,,41,,41,,,
"",,"DaraAfghanaNo.2",184060906,,,,161,,161,,,
"",,,Total,,,,1379,,1379,3,,3
311,"311-Govt. Girls  P/S Mundi Khail(Female) (P)","MundiKhail",184060901,,,,,421,421,,,
"",,"MundiKhal",184060902,,,,,227,227,,,
"",,"kotlaAfghnan",184060904,,,,,251,251,,,
"",,"DaraAfghanaNo.1",184060905,,,,,24,24,,,
"",,"DaraAfghanaNo.2",184060906,,,,,119,119,,,
"",,,Total,,,,,1042,1042,,2,2
312,312-Govt. Girls Primary School Bhatain,"KohlianB.C",184060903,,,,20,13,33,,,
"",,Bhatain,184061403,,,,302,190,492,,,
"",,Bhatain,184061404,,,,196,110,306,,,
"",,Bakar pur,184061405,,,,52,41,93,,,
"",,"Kotli baryKhan",184060907,,,,134,99,233,,,
"",,,Total,,,,704,453,1157,1,1,2
313,"313-Govt. Boys P/S Meanwali(Combined) (P)","KapureDive",184061009,,,,112,73,185,,,
"",,Meanwali,184061011,,,,583,358,941,,,
"",,,Total,,,,695,431,1126,1,1,2
314,"314-Govt. Boys H/S Kanjrur (Combined)(P)","KanjrurNo.1.",184061001,,,,699,515,1214,,,
"",,"KanjrurNo.2",184061002,,,,325,229,554,,,
"",,,Total,,,,1024,744,1768,2,2,4
315,315-Govt.H/S Boys Kanjrur(Male)  (P),"KanjrurNo.3",184061003,,,,430,,430,,,
"",,"KanjrurNo.6",184061006,,,,400,,400,,,
"",,,Total,,,,1163,0,1163,3,,3
316,316-Govt.H/S Boys Kanjrur(Female)  (P),"KanjrurNo.3",184061003,,,,,337,337,,,
"",,"KanjrurNo.5",184061005,,,,,257,257,,,
"",,"KanjrurNo.6",184061006,,,,,308,308,,,
"",,,Total,,,,,902,902,,2,2
317,317-Govt. Girls H/S Kanjrur (Male)  (P),"KanjrurNo.4",184061004,,,,334,,334,,,
"",,"KanjrurNo.7",184061007,,,,1004,,1004,,,
"",,,Total,,,,1338,,1338,3,,3
318,"318-Govt. Girls H/S Kanjrur (Female)(P)","KanjrurNo.4",184061004,,,,,277,277,,,
"",,"KanjrurNo.7",184061007,,,,,777,777,,,
"",,,Total,,,,,1054,1054,,2,2
319,"319-Govt.Boys E/S Manzoor PuraPlot(Kotli Sootkan (Male)  (P)","KotliSootkanNo.1",184061101,,,,82,,82,,,
"",,"KotliSootkanNo.2",184061105,,,,796,,,,,
"",,"KotliSootkanNo.2",184061102,,,,306,,306,,,
"",,,Total,,,,1184,,1184,3,,3
320,"320-Govt. Girls P/S Manzoor Pura Plotkotli Sootkan) (Female) (P)","KotliSootkanNo.1",184061101,,,,,62,62,,,
"",,"KotliSootkanNo.2",184061105,,,,,577,577,,,
"",,"KotliSootkanNo.2",184061102,,,,,251,251,,,
"",,,Total,,,,,890,890,,2,2
321,"321-Govt.Boys E/S Manzoor PuraPlot(Kotli Sootkan (Combined) (P)","KotliSootkanNo.3",184061103,,,,672,571,1243,,,
"",,"KotliSootkanNo.4",184061104,,,,263,202,465,,,
322,"322-Govt. P/S Girls Viram (Combined)(P)","ManjeyToor",184061106,,,,400,255,655,,,
"",,Viram,184061107,,,,341,288,629,,,
"",,Bhanian,184061108,,,,258,183,441,,,
"",,"Khanowali",184061109,,,,36,28,64,,,
"",,,Total,,,,1035,754,1789,2,1,3
323,"323-Govt. Girls P/S Marzee Wali(Combined) (P)","Kathowali",184061201,,,,144,100,244,,,
"",,Bebalwali,184061202,,,,115,76,191,,,
"",,"FareedPur",184061203,,,,30,16,46,,,
"",,"Muslmanian",184061204,,,,155,121,276,,,
"",,Achalwali,184061205,,,,198,152,350,,,
"",,"MirzaeWali",184061206,,,,416,285,701,,,
324,"324-Govt. Boys P/S Sultan pur(Combined) (P)",,Total,,,,1058,750,1808,2,1,3
"",,Sultanpur,184061301,,,,326,250,576,,,
"",,"KotHarsai",184061304,,,,170,132,302,,,
"",,"KhotriKalan",184061305,,,,15,15,30,,,
"",,"ChakSarwaniB.C",184061306,,,,0,0,0,,,
"",,"KhotriKhurdB.C",184061307,,,,0,0,0,,,
"",,,Total,,,,511,397,908,1,1,2
325,"325-Govt. Girls High SchoolSattowal(Combined)(P)","Massriwal",184061302,,,,219,191,410,,,
"",,Mamiwal,184061303,,,,126,75,201,,,
"",,Sattowal,184061308,,,,301,262,563,,,
"",,,Total,,,,646,528,1174,1,1,2
326,"326-Govt.Boys P/S Mundialee Klan(Combined) (P)","MandialaKhurd",184061402,,,,122,92,214,,,
"",,"Mandialee Kalan",184061406,,,,499,382,881,,,
"",,"Kotli RamDas",184061410,,,,178,126,304,,,
327,"327-Govt. Girls H/S Ali Langah(Combined) (P)",Farid key,184061401,,,,233,164,397,,,
"",,Langah -I,184061407,,,,510,357,867,,,
"",,,Total,,,,743,521,1264,2,1,3
328,"328-Govt. Boys H/S Langah (Combined)(P)","Langah -II",184061408,,,,592,366,958,,,
"",,"Langah -III",184061409,,,,269,141,410,,,
"",,,Total,,,,861,507,1368,2,1,3
329,"329-Govt. Girls P/S Maan Pur(Combined) (P)",Maan pur,184061801,,,,270,197,467,,,
"",,"Shazadda",184061802,,,,78,37,115,,,
"",,"MataKalan",184061803,,,,75,39,114,,,
"",,Haji Pur,184061804,,,,237,156,393,,,
"",,"KakaKotli",184061805,,,,92,67,159,,,
"",,,Total,,,,752,496,1248,2,1,3
330,330-Boys P/S Malu Salu. (Combined)(P),"Anga(B.C)",184070101,,,,26,25,51,,,
"",,Baqir Pur,184070104,,,,541,433,974,,,
"",,"ChakMaluSalu(B.C)",184070106,,,,0,0,0,,,
"",,,Total:-,,,,567,458,1025,1,1,2
331,331-Girls P/S Pharuwal (Combined)(P),"MaddaAfghanan",184070102,,,,304,207,511,,,
"",,Pharuwal,184070105,,,,205,165,370,,,
"",,,Total:-,,,,509,372,881,1,1,2
332,332-Boys H/S Bua (Combined)(P),Bua,184070107,,,,662,531,1193,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,662,531,1193,2,1,3
333,"333-Govt. Girls High School Bua (Combined)",Bua,184070108,,,,776,669,1445,,,
"",,,Total:-,,,,776,669,1445,2,2,4
334,334-Girls M/S Malu Salu (Combined)(P),"MaluSalu",184070109,,,,473,442,915,,,
"",,"MaluSalu",184070110,,,,323,243,566,,,
"",,,Total:-,,,,796,685,1481,2,1,3
"",,"Mehangra",184070202,,,,588,462,1050,,,
"",,,Total:-,,,,830,647,1477,2,1,3
336,336-Girls P/S Natt. (Combined)(P),Maan,184070203,,,,366,301,667,,,
"",,Natt,184070210,,,,360,266,626,,,
"",,,Total:-,,,,726,567,1293,2,1,3
337,337-Boys P/S Klair. (Combined)(P),Klair,184070204,,,,267,203,470,,,
"",,"JowaherPur",184070206,,,,140,88,228,,,
"",,Chhima,184070209,,,,300,239,539,,,
"",,"YousafPurKhutti.",184070212,,,,296,209,505,,,
"",,,Total:-,,,,1003,739,1742,2,1,3
338,338-Girls P/S Jhun (Combined)(P),Sham Pur,184070205,,,,172,116,288,,,
"",,Chhani,184070207,,,,84,49,133,,,
"",,Jhun,184070208,,,,260,196,456,,,
"",,Ladher,184070211,,,,298,194,492,,,
"",,,Total:-,,,,814,555,1369,2,1,3
339,339-Girls P/S Landrah. (Combined)P),Landra.,184070301,,,,529,323,852,,,
"",,Sarwal.,184070302,,,,232,160,392,,,
"",,,Total:-,,,,761,483,1244,2,1,3
340,340-Boys E/S Kasana. (Combined) P),Kasana.,184070303,,,,511,388,899,,,
"",,Baman.,184070304,,,,144,103,247,,,
"",,,Total:-,,,,655,491,1146,2,1,3
341,"341-Girls P/S Pandori Dahonda.(Combined) P)",Kothra.,184070401,,,,84,44,128,,,
"",,"PandoriDhonda.",184070402,,,,709,507,1216,,,
"",,,Total:-,,,,793,551,1344,2,1,3
342,342-Girls P/S Jhangi. (Combined) P),Jhangi.,184070403,,,,376,293,669,,,
"",,Jhangi.,184070404,,,,320,203,523,,,
"",,,Total:-,,,,696,496,1192,2,1,3
343,343-Boys P/S Chora. (Combined) P),Chora.,184070501,,,,863,699,1562,,,
"",,,Total:-,,,,863,699,1562,2,2,4
344,344-Girls P/S Jeejowali. (Combined) P),Jeejowali,184070502,,,,344,257,601,,,
"",,Gamtali,184070503,,,,368,296,664,,,
"",,,Total:-,,,,712,553,1265,2,1,3
345,"345-Boys H/S Gamtala..(Male) P)",Gamtala,184070504,,,,658,,658,,,
"",,Gamtala,184070506,,,,696,,696,,,
"",,Gamtala,184070505,,,,499,,499,,,
"",,,Total:-,,,,1853,,1853,4,,4
346,346-Girls H/S Gamtala. (Female) P),Gamtala,184070504,,,,,590,590,,,
"",,Gamtala,184070506,,,,,531,531,,,
"",,Gamtala,184070505,,,,,342,342,,,
"",,,Total:-,,,,,1463,1463,0,3,3
347,347-Girls P/S Ladhial (Combined) P),,184070701,,,,617,450,1067,,,
"",,,Total:-,,,,617,450,1067,1,1,2
348,"348-B.H.U.Doodu chak. (Kohlian)(Combined) P)",Takhtiyal,184070702,,,,44,28,72,,,
"",,"ChakDoodu.",184070904,,,,143,72,215,,,
"",,Kohliyan,184070905,,,,601,425,1026,,,
"",,,Total:-,,,,788,525,1313,2,1,3
349,"349-Boys P/S Fattowal Sulehrian.(Combined)P)","FattowalSulehrian",184070703,,,,549,410,959,,,
"",,"FattowalSulehrian",184070705,,,,552,329,881,,,
"",,,Total:-,,,,1101,739,1840,2,2,4
350,"350-Girls P/S Fattowal Sulehrian.(Combined) P)","FattowalSulehrian",184070704,,,,510,312,822,,,
"",,,,,,,,,0,,,
"",,,Total:-,,,,510,312,822,1,1,2
351,351-Boys P/S Chajwal. (Combined)(P),Chajwal,184070801,,,,229,168,397,,,
"",,Ranyal,184070802,,,,582,480,1062,,,
"",,Masyal,184070807,,,,69,49,118,,,
"",,"Ghadwal(B.C)",184070811,,,,0,0,0,,,
"",,,Total:-,,,,880,697,1577,2,1,3
352,"352-Girls P/S Fattowal Sulehrian.(Combined)P)",Fattowal,184070806,,,,451,352,803,,,
"",,"Theekerian",184070803,,,,439,376,815,,,
"",,,Total:-,,,,890,728,1618,2,2,4
353,"353-Boys P.S Ballo-Khatana.(Combined)(P)","Balokhatana",184070804,,,,451,355,806,,,
"",,"Chacheyan",184070805,,,,194,149,343,,,
"",,,Total:-,,,,645,504,1149,1,1,2
354,"354-Govt. Boys Elementary SchoolBabral. (Male) (P)",Babral,184070808,,,,330,,330,,,
"",,Babral,184070809,,,,361,,361,,,
"",,Babral,184070810,,,,533,,533,,,
"",,,Total:-,,,,1224,,1224,2,,2
355,"355-Govt. Girls Primary School Babral(Female)(P)",Babral,184070808,,,,,265,265,,,
"",,Babral,184070809,,,,,272,272,,,
"",,Babral,184070810,,,,,394,394,,,
356,"356-Boys H/S Doodu Chak.(Combined)( P)","DooduChak",184070901,,,,782,588,1370,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,782,588,1370,1,1,2
357,"357-Girls H/S Dhudoohak (Combined) (P)","DooduChak",184070902,,,,498,357,855,,,
"",,Gagian.,184070903,,,,401,331,732,,,
"",,,Total:-,,,,899,688,1587,2,1,3
358,"358-Govt. Girls Primary School SoodGujran(Combined)","SoodGujran",184070906,,,,515,388,903,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,515,388,903,1,1,2
359,359-Girls P/S Zahid Pur. (Combined)(P),"LalChandPur",184071001,,,,182,134,316,,,
"",,Natewali,184071003,,,,268,187,455,,,
"",,Zahid Pur,184071004,,,,162,112,274,,,
"",,,Total:-,,,,612,433,1045,1,1,2
360,"360-Govt. Girls P/S Khano Malhi(Combined)(P)","KhanoMalhi",184071002,,,,437,293,730,,,
"",,"SaadhoDera",184071006,,,,105,63,168,,,
"",,Bahowali,184071007,,,,133,84,217,,,
"",,,Total:-,,,,675,440,1115,1,1,2
361,361-Girls P/S Fazil Pur. (Combined)(P),Fazil pur,184071005,,,,572,459,1031,,,
"",,"Bhawanipur",184071008,,,,248,155,403,,,
"",,Oalakh,184071101,,,,326,218,544,,,
"",,,Total:-,,,,1146,832,1978,2,2,4
362,"362-Girls P/S Bhabra Jattan(Combined)(P)","Panjuchohan",184071102,,,,66,49,115,,,
"",,Changa,184071105,,,,114,63,177,,,
"",,"BhabraJattan",184071107,,,,192,131,323,,,
"",,,Total:-,,,,372,243,615,1,1,2
363,363-Girls P/S. Toundi (Combined)(P),"KotliQanoongoi",184071103,,,,61,38,99,,,
"",,Sumray,184071104,,,,232,149,381,,,
"",,Toundi,184071106,,,,503,355,858,,,
"",,Easa,184071307,,,,270,179,449,,,
"",,,Total:-,,,,1066,721,1787,2,2,4
364,364-Boys P.S Mallah. (Combined)(P),Mallah,184071108,,,,477,352,829,,,
"",,Mallah.,184071109,,,,541,396,937,,,
365,"365-Girls P/S Aggo Munda(Combined)(P)","AggoMunda",184071201,,,,520,313,833,,,
"",,"NaimatPur",184071204,,,,182,147,329,,,
"",,,Total:-,,,,702,460,1162,2,1,3
366,366-Boys P/S Qazi Motla (Combined)(P),"Qanungoi",184071202,,,,155,91,246,,,
"",,Lalian,184071203,,,,320,226,546,,,
"",,"QaziMotla",184071205,,,,190,158,348,,,
"",,,Total:-,,,,665,475,1140,1,1,2
367,"367-Boys H/S Nadala Sulehrian(Male)(P)","NadalaSulehrian.",184071206,,,,543,,543,,,
"",,"NadalaSulehrian.",184071207,,,,740,,740,,,
"",,"NadalaSulehrian.",184071208,,,,511,,511,,,
"",,,Total:-,,,,1794,,1794,4,,4
368,"368-Girls M/S Nadala Sulehrian(Female)( P)","NadalaSulehrian.",184071206,,,,,414,414,,,
"",,"NadalaSulehrian.",184071207,,,,,553,553,,,
"",,"NadalaSulehrian.",184071208,,,,,370,370,,,
"",,,Total:-,,,,,1337,1337,,3,3
369,"369-Govt. Boys H/S Sahari.(Combined)(P)",Sahari,184071301,,,,535,430,965,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,535,430,965,1,1,2
370,"370-Govt. Boys H/S Sahari.(Combined)(P)",Sahari,184071302,,,,623,547,1170,,,
"",,,,,,,,,,,,
"",,,Total:-,,,,623,547,1170,1,1,2
371,371-Boys H/S Shah-Gharib (Male)(P),Ghona,184071303,,,,553,,553,,,
"",,Ghona,184071304,,,,484,,484,,,
"",,"Shah-Jalil",184071305,,,,273,,273,,,
"",,,Total:-,,,,1310,,1310,3,,3
372,372-Boys H/S Shah-Gharib (Female)(P),Ghona,184071303,,,,,416,416,,,
"",,Ghona,184071304,,,,,335,335,,,
"",,"Shah-Jalil",184071305,,,,,219,219,,,
"",,,Total:-,,,,,970,970,,2,2
373,373-Boys P/S Gnadayala (Combined)(P),"Ghadayala",184071306,,,,625,454,1079,,,
"",,Bhadyar,184071405,,,,181,110,291,,,
"",,,Total:-,,,,806,564,1370,2,1,3
374,374-Girls E/S Versienke (Combined)(P),"Versienke",184071401,,,,297,178,475,,,
"",,"Khudaipur",184071403,,,,440,315,755,,,
"",,Akeeke.,184071406,,,,350,230,580,,,
"",,,Total:-,,,,1087,723,1810,2,1,3
375,375-Girls P/S Mandayala (Combined)(P),"Mandayala",184071402,,,,621,480,1101,,,
"",,"KakkayWali",184071404,,,,282,240,522,,,
"",,,Total:-,,,,903,720,1623,2,1,3
